trait_id	name	study	doi	unit	catalog_num_values	raw_row_n	finite_row_n	unique_accession_n	finite_unique_accession_n	panel_intersection_n	finite_panel_intersection_n	duplicate_accession_n	max_rows_per_accession	group_counts	values_sha256	retrieval_status
1	FT Diameter Field	Atwell et. al, Nature 2010	10.21958/phenotype:1	length unit	180	180	180	180	180	120	120	0	1	"{""admixed"": 12, ""asia"": 6, ""central_europe"": 22, ""germany"": 20, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 21, ""spain"": 7, ""western_europe"": 17}"	9b5d7d3a80c72ad803650973b2b95b848db4d049bc3e730ad89e7ba8ac3073ad	ok
2	At2 CFU2	Atwell et. al, Nature 2010	10.21958/phenotype:2	colony forming unit	175	175	175	175	175	119	119	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 21, ""germany"": 20, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	a522eb39c8268e71de582f5b2e3a90b6e843a5b2c5f419245c4b933289465cc1	ok
3	Leaf serr 16	Atwell et. al, Nature 2010	10.21958/phenotype:3	dimensionless unit	176	176	176	176	176	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 21, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	2282aabcc7cc1db3a0861fb1f70d43cb8ae339f96297b98764c5bd0cbf96d397	ok
4	Seed bank 133-91	Atwell et. al, Nature 2010	10.21958/phenotype:4	dimensionless unit	110	110	110	110	110	69	69	0	1	"{""admixed"": 7, ""asia"": 5, ""central_europe"": 11, ""germany"": 15, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 1, ""spain"": 5, ""western_europe"": 15}"	d004b1e061e626ce9dcc3f839f5abd12ca53560a1b26e1fd97f039bc4cb060c3	ok
5	Na23	Atwell et. al, Nature 2010	10.21958/phenotype:5	concentration unit	93	93	93	93	93	62	62	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 12, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 13}"	3ac241ba7bb856ebc72d4a0398072a220ee0b18dda717d999c316becc6c15f04	ok
6	Leaf serr 10	Atwell et. al, Nature 2010	10.21958/phenotype:6	dimensionless unit	174	174	174	174	174	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 18, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	7a91772317ddc5159b979a145d26bb51a294f2ad7b6417587783d8b7f25a4eef	ok
7	Emco5	Atwell et. al, Nature 2010	10.21958/phenotype:7	dimensionless unit	86	86	86	86	86	56	56	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 10, ""germany"": 11, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 12}"	a3d73582ace180f2d9ad9e7145126637b9bc536e9c00701f378b01b59924ac57	ok
8	Leaf roll 16	Atwell et. al, Nature 2010	10.21958/phenotype:8	dimensionless unit	176	176	176	176	176	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 21, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	0014537c398d8587c1e55e299835b51cd2ee50d392ca2e6e7cb46534db8cb119	ok
9	Leaf roll 10	Atwell et. al, Nature 2010	10.21958/phenotype:9	dimensionless unit	177	177	177	177	177	119	119	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	29d863999802872b6ddb9f9c24f7428e08a02c2eae7c5ad83503d9a5359391cb	ok
10	Bs	Atwell et. al, Nature 2010	10.21958/phenotype:10	count unit	175	175	175	175	175	119	119	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 21, ""germany"": 20, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	b04935b15d44ac5df8a145ca0b04b4f8514dbd776482761da0d0c91649f617ec	ok
11	2W	Atwell et. al, Nature 2010	10.21958/phenotype:11	day	152	152	152	152	152	103	103	0	1	"{""admixed"": 10, ""asia"": 6, ""central_europe"": 20, ""germany"": 15, ""north_sweden"": 12, ""relict"": 1, ""south_sweden"": 17, ""spain"": 6, ""western_europe"": 16}"	394bb05c902badf62babfda48fae7041596ed9fed5e8ebf8cbdb0a164db9ca09	ok
12	Rosette Erect 22	Atwell et. al, Nature 2010	10.21958/phenotype:12	dimensionless unit	176	176	176	176	176	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 21, ""spain"": 7, ""western_europe"": 17}"	e518a2c839ebe4f0c688f26989f24484d3ef8ef1dc7cb608ebed3858108d71f8	ok
13	Cd114	Atwell et. al, Nature 2010	10.21958/phenotype:13	concentration unit	93	93	93	93	93	62	62	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 12, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 13}"	543a1f01e1542263e4ee9ea1e201c3947579e5e538ec10db057e4c42224f85e5	ok
14	Width 16	Atwell et. al, Nature 2010	10.21958/phenotype:14	centimeter	175	175	175	175	175	117	117	0	1	"{""admixed"": 10, ""asia"": 6, ""central_europe"": 21, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	6c7069a9fa3b8e9b29ffb17a7ca57ebb13d0a1299ab0470effc22d25da74b1ab	ok
15	Storage 28 days	Atwell et. al, Nature 2010	10.21958/phenotype:15	percent	110	110	110	110	110	69	69	0	1	"{""admixed"": 7, ""asia"": 5, ""central_europe"": 11, ""germany"": 15, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 1, ""spain"": 5, ""western_europe"": 15}"	10122ac7a86908913169e4db51ab1dc07c3f294b53c94131e6ca4bbb379c9e86	ok
16	LY 	Atwell et. al, Nature 2010	10.21958/phenotype:16	dimensionless unit	95	95	95	95	95	64	64	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 13, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 14}"	d9a0f289c72cc34823424e8519019df99b5d0a9f32abba5fb2414a3d7cf0aee4	ok
17	avrRpm1	Atwell et. al, Nature 2010	10.21958/phenotype:17	dimensionless unit	84	84	84	84	84	58	58	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 11, ""north_sweden"": 8, ""relict"": 1, ""south_sweden"": 1, ""spain"": 3, ""western_europe"": 13}"	4605f1e21e2a76d0f5c245811178549c8d9b6812429b37ce5e4c12918965cb43	ok
