accession_id	fold	genetic_group	nearclone_block
10005	0	central_europe	1094
10011	0	asia	1099
10013	0	italy_balkan_caucasus	1101
10023	0	admixed	1108
108	0	western_europe	5
1317	0	admixed	56
1829	0	germany	71
428	0	central_europe	14
4884	0	western_europe	105
5104	0	germany	110
5253	0	western_europe	116
5353	0	western_europe	120
5486	0	germany	122
5757	0	admixed	132
5831	0	south_sweden	143
5874	0	central_europe	151
5893	0	central_europe	153
5993	0	central_europe	158
6017	0	north_sweden	166
6023	0	south_sweden	171
6030	0	north_sweden	174
6035	0	south_sweden	176
6039	0	admixed	179
6073	0	south_sweden	189
6094	0	south_sweden	200
6100	0	south_sweden	206
6107	0	south_sweden	212
6108	0	western_europe	213
6111	0	south_sweden	215
6115	0	south_sweden	219
6126	0	south_sweden	226
6128	0	south_sweden	227
6151	0	south_sweden	242
6153	0	north_sweden	243
6174	0	north_sweden	250
6192	0	south_sweden	257
6201	0	south_sweden	262
6221	0	north_sweden	272
6240	0	north_sweden	277
6268	0	germany	285
6744	0	germany	298
6901	0	north_sweden	308
6967	0	western_europe	344
6975	0	central_europe	351
6986	0	western_europe	357
6989	0	western_europe	359
6992	0	admixed	361
7026	0	western_europe	370
7031	0	germany	372
7077	0	italy_balkan_caucasus	384
7092	0	western_europe	386
7102	0	germany	389
7103	0	central_europe	390
7109	0	western_europe	393
7119	0	germany	396
7127	0	admixed	400
7138	0	admixed	403
7161	0	germany	408
7162	0	germany	409
7169	0	admixed	413
7207	0	central_europe	422
7218	0	admixed	427
7255	0	germany	434
7268	0	admixed	436
7287	0	germany	441
7298	0	central_europe	444
7314	0	admixed	448
7328	0	spain	455
7354	0	south_sweden	467
7372	0	central_europe	471
7382	0	admixed	475
7384	0	admixed	477
7404	0	admixed	481
7418	0	admixed	487
7460	0	central_europe	492
763	0	asia	28
801	0	germany	33
8237	0	south_sweden	528
8244	0	western_europe	535
8246	0	germany	536
8307	0	south_sweden	549
8312	0	germany	551
8326	0	south_sweden	552
8334	0	admixed	553
8357	0	spain	559
8376	0	north_sweden	563
8386	0	central_europe	564
9057	0	south_sweden	576
9078	0	italy_balkan_caucasus	582
9084	0	italy_balkan_caucasus	585
9085	0	italy_balkan_caucasus	586
9095	0	italy_balkan_caucasus	589
9106	0	italy_balkan_caucasus	596
9121	0	italy_balkan_caucasus	601
9336	0	admixed	614
9343	0	admixed	616
9353	0	south_sweden	618
9392	0	south_sweden	631
9399	0	south_sweden	634
9404	0	south_sweden	636
9412	0	south_sweden	641
9436	0	south_sweden	647
9450	0	south_sweden	650
9506	0	admixed	661
9509	0	spain	664
9510	0	spain	665
9513	0	admixed	668
9518	0	spain	672
9524	0	spain	678
9525	0	spain	679
9531	0	spain	685
9532	0	spain	686
9544	0	spain	697
9556	0	spain	709
9561	0	admixed	714
9571	0	western_europe	721
9573	0	spain	722
9593	0	spain	740
9596	0	admixed	743
9608	0	asia	752
9626	0	asia	767
9629	0	asia	770
9631	0	asia	772
9638	0	asia	779
9639	0	asia	780
9641	0	asia	782
9642	0	asia	783
9651	0	italy_balkan_caucasus	791
9655	0	italy_balkan_caucasus	793
9665	0	central_europe	802
9668	0	central_europe	805
9677	0	central_europe	812
9679	0	central_europe	814
9697	0	italy_balkan_caucasus	831
9713	0	italy_balkan_caucasus	846
9719	0	italy_balkan_caucasus	851
9720	0	italy_balkan_caucasus	852
9730	0	central_europe	861
9737	0	asia	867
9745	0	asia	873
9759	0	italy_balkan_caucasus	882
9770	0	central_europe	889
9774	0	central_europe	892
9776	0	central_europe	894
9784	0	central_europe	902
9788	0	central_europe	906
9790	0	central_europe	908
9794	0	central_europe	912
9795	0	central_europe	913
9796	0	central_europe	914
9802	0	central_europe	920
9804	0	central_europe	922
9813	0	central_europe	931
9815	0	central_europe	933
9816	0	central_europe	934
9828	0	western_europe	945
9830	0	admixed	946
9832	0	relict	948
9834	0	spain	950
9839	0	admixed	955
9845	0	spain	960
9847	0	western_europe	962
9850	0	spain	965
9857	0	spain	972
9878	0	spain	990
9879	0	relict	991
9885	0	spain	996
9898	0	spain	1006
9905	0	relict	1013
9914	0	central_europe	1020
9918	0	western_europe	1023
9937	0	western_europe	1036
9941	0	western_europe	1039
9945	0	admixed	1043
9947	0	relict	1045
9957	0	asia	1054
9963	0	italy_balkan_caucasus	1059
9966	0	italy_balkan_caucasus	1062
9981	0	italy_balkan_caucasus	1075
9987	0	italy_balkan_caucasus	1081
9995	0	central_europe	1086
10006	1	italy_balkan_caucasus	1095
10009	1	asia	1097
10012	1	italy_balkan_caucasus	1100
1061	1	south_sweden	46
1158	1	south_sweden	51
1552	1	north_sweden	57
1890	1	asia	78
2278	1	germany	95
350	1	western_europe	9
410	1	central_europe	12
4779	1	western_europe	100
5276	1	western_europe	117
5349	1	western_europe	119
5577	1	western_europe	123
5748	1	germany	131
5800	1	germany	139
5837	1	central_europe	146
5984	1	central_europe	157
6011	1	north_sweden	162
6013	1	north_sweden	164
6021	1	south_sweden	169
6042	1	admixed	182
6064	1	north_sweden	185
6074	1	south_sweden	190
6076	1	south_sweden	191
6090	1	south_sweden	197
6097	1	south_sweden	203
6098	1	south_sweden	204
6132	1	south_sweden	229
6133	1	south_sweden	230
