accession_id	fold	genetic_group	nearclone_block
10001	0	western_europe	1091
10020	0	central_europe	1106
1063	0	south_sweden	48
139	0	western_europe	6
1552	0	north_sweden	57
159	0	western_europe	7
1872	0	germany	77
1954	0	germany	80
403	0	central_europe	11
410	0	central_europe	12
4958	0	western_europe	108
5276	0	western_europe	117
5577	0	western_europe	123
5768	0	admixed	133
5984	0	central_europe	157
6013	0	north_sweden	164
6034	0	south_sweden	175
6036	0	south_sweden	177
6094	0	south_sweden	200
6105	0	south_sweden	210
6109	0	south_sweden	214
6124	0	south_sweden	224
6132	0	south_sweden	229
6133	0	south_sweden	230
6148	0	south_sweden	239
6172	0	north_sweden	248
6174	0	north_sweden	250
6177	0	north_sweden	251
6192	0	south_sweden	257
6195	0	south_sweden	260
6237	0	north_sweden	275
6238	0	north_sweden	276
6424	0	central_europe	292
6982	0	germany	355
6984	0	central_europe	356
6987	0	admixed	358
7000	0	germany	363
7008	0	germany	366
7061	0	admixed	376
7063	0	relict	378
7117	0	germany	395
7119	0	germany	396
7125	0	germany	398
7126	0	admixed	399
7162	0	germany	409
7164	0	south_sweden	411
7186	0	central_europe	417
7207	0	central_europe	422
7231	0	germany	429
7258	0	germany	435
7298	0	central_europe	444
7307	0	western_europe	447
7319	0	admixed	450
7320	0	western_europe	451
7337	0	germany	458
7347	0	central_europe	463
7382	0	admixed	475
7383	0	western_europe	476
801	0	germany	33
8132	0	germany	517
8230	0	south_sweden	522
8234	0	south_sweden	525
8242	0	south_sweden	533
8244	0	western_europe	535
8246	0	germany	536
8256	0	admixed	539
8285	0	central_europe	545
8290	0	central_europe	546
8306	0	south_sweden	548
8337	0	western_europe	555
8369	0	south_sweden	562
8419	0	central_europe	566
8422	0	south_sweden	568
9085	0	italy_balkan_caucasus	586
9104	0	italy_balkan_caucasus	594
9105	0	italy_balkan_caucasus	595
9131	0	asia	605
9133	0	asia	606
9298	0	western_europe	608
9336	0	admixed	614
9386	0	north_sweden	627
9390	0	south_sweden	629
9395	0	south_sweden	633
9413	0	south_sweden	642
9451	0	south_sweden	651
9455	0	south_sweden	655
9506	0	admixed	661
9513	0	admixed	668
9518	0	spain	672
9527	0	admixed	681
9532	0	spain	686
9533	0	relict	687
9534	0	spain	688
9539	0	spain	692
9559	0	admixed	712
9568	0	spain	719
9579	0	admixed	727
9596	0	admixed	743
9608	0	asia	752
9609	0	asia	753
9612	0	asia	756
9617	0	asia	760
9620	0	asia	762
9634	0	asia	775
9638	0	asia	779
9640	0	asia	781
9642	0	asia	783
9647	0	italy_balkan_caucasus	788
9648	0	italy_balkan_caucasus	789
9649	0	italy_balkan_caucasus	790
9651	0	italy_balkan_caucasus	791
9655	0	italy_balkan_caucasus	793
9657	0	italy_balkan_caucasus	795
9659	0	italy_balkan_caucasus	797
9661	0	italy_balkan_caucasus	799
9667	0	central_europe	804
9681	0	central_europe	816
9691	0	admixed	825
9698	0	italy_balkan_caucasus	832
9703	0	italy_balkan_caucasus	836
9707	0	italy_balkan_caucasus	840
9717	0	italy_balkan_caucasus	849
9722	0	italy_balkan_caucasus	854
9725	0	italy_balkan_caucasus	856
9727	0	central_europe	858
9728	0	central_europe	859
9730	0	central_europe	861
9738	0	admixed	868
9744	0	admixed	872
9758	0	asia	881
9761	0	central_europe	883
9762	0	admixed	884
9770	0	central_europe	889
9771	0	central_europe	890
9777	0	central_europe	895
9779	0	central_europe	897
9780	0	central_europe	898
9781	0	central_europe	899
9783	0	admixed	901
9788	0	central_europe	906
9792	0	central_europe	910
9793	0	central_europe	911
9803	0	central_europe	921
9805	0	central_europe	923
9809	0	western_europe	927
9810	0	central_europe	928
9812	0	central_europe	930
9817	0	spain	935
9821	0	spain	938
9822	0	spain	939
9823	0	western_europe	940
9831	0	admixed	947
9832	0	relict	948
9836	0	spain	952
9838	0	admixed	954
9841	0	spain	957
9845	0	spain	960
9852	0	spain	967
9855	0	spain	970
9857	0	spain	972
9866	0	spain	979
9874	0	spain	986
9875	0	western_europe	987
9876	0	spain	988
9878	0	spain	990
9891	0	spain	1001
9894	0	admixed	1003
9904	0	spain	1012
9905	0	relict	1013
9908	0	western_europe	1015
991	0	south_sweden	41
9915	0	central_europe	1021
992	0	south_sweden	42
9924	0	admixed	1026
9933	0	admixed	1034
9935	0	western_europe	1035
9941	0	western_europe	1039
9959	0	asia	1056
9984	0	admixed	1078
9987	0	italy_balkan_caucasus	1081
9995	0	central_europe	1086
10004	1	italy_balkan_caucasus	1093
10006	1	italy_balkan_caucasus	1095
10013	1	italy_balkan_caucasus	1101
10018	1	central_europe	1105
1158	1	south_sweden	51
1853	1	germany	76
1925	1	germany	79
2171	1	germany	88
4807	1	western_europe	101
5104	1	germany	110
5236	1	western_europe	114
5353	1	western_europe	120
5644	1	western_europe	124
5726	1	western_europe	129
5741	1	western_europe	130
5772	1	admixed	134
5784	1	admixed	137
5800	1	germany	139
5811	1	admixed	140
5832	1	south_sweden	144
5890	1	central_europe	152
5921	1	central_europe	155
6011	1	north_sweden	162
6023	1	south_sweden	171
6035	1	south_sweden	176
6043	1	north_sweden	183
6064	1	north_sweden	185
6073	1	south_sweden	189
6104	1	south_sweden	209
6111	1	south_sweden	215
6112	1	south_sweden	216
6126	1	south_sweden	226
6134	1	south_sweden	231
6136	1	south_sweden	232
6145	1	south_sweden	238
6173	1	north_sweden	249
6180	1	germany	252
6184	1	north_sweden	253
6202	1	south_sweden	263
6203	1	south_sweden	264
6217	1	north_sweden	269
6221	1	north_sweden	272
6240	1	north_sweden	277
6296	1	central_europe	288
630	1	western_europe	22
6413	1	south_sweden	291
6434	1	admixed	293
6970	1	spain	347
6979	1	central_europe	353
6992	1	admixed	361
7003	1	admixed	365
7013	1	south_sweden	367
7014	1	germany	368
7025	1	central_europe	369
7064	1	western_europe	379
7067	1	central_europe	380
7071	1	western_europe	382
7077	1	italy_balkan_caucasus	384
7106	1	central_europe	391
7120	1	central_europe	397
7177	1	central_europe	414
7181	1	admixed	415
7199	1	germany	419
7202	1	germany	420
7203	1	central_europe	421
7287	1	germany	441
7296	1	central_europe	443
7306	1	western_europe	446
7316	1	admixed	449
7322	1	germany	452
7328	1	spain	455
7342	1	admixed	459
7350	1	central_europe	465
7353	1	admixed	466
7356	1	germany	468
7372	1	central_europe	471
7373	1	admixed	472
7384	1	admixed	477
7413	1	central_europe	483
765	1	asia	29
768	1	asia	31
7717	1	germany	509
7917	1	germany	512
8222	1	south_sweden	520
8231	1	south_sweden	523
8237	1	south_sweden	528
8238	1	germany	529
8239	1	germany	530
8241	1	south_sweden	532
8243	1	western_europe	534
8264	1	spain	542
8326	1	south_sweden	552
8334	1	admixed	553
8354	1	asia	558
9058	1	admixed	577
9089	1	italy_balkan_caucasus	587
9103	1	italy_balkan_caucasus	593
9125	1	asia	602
9130	1	asia	604
9353	1	south_sweden	618
9380	1	south_sweden	623
9382	1	admixed	625
9416	1	south_sweden	643
9437	1	south_sweden	648
9470	1	south_sweden	656
9503	1	western_europe	660
9507	1	spain	662
9508	1	admixed	663
9509	1	spain	664
9511	1	spain	666
9512	1	spain	667
9519	1	spain	673
9524	1	spain	678
9555	1	relict	708
9556	1	spain	709
9567	1	spain	718
9569	1	western_europe	720
9571	1	western_europe	721
9585	1	western_europe	732
9592	1	admixed	739
9599	1	western_europe	746
9607	1	asia	751
9610	1	asia	754
9613	1	italy_balkan_caucasus	757
9619	1	asia	761
9622	1	admixed	764
9625	1	asia	766
9633	1	asia	774
9643	1	asia	784
9646	1	italy_balkan_caucasus	787
9658	1	italy_balkan_caucasus	796
9665	1	central_europe	802
9666	1	central_europe	803
9676	1	central_europe	811
9678	1	central_europe	813
9687	1	central_europe	822
9690	1	central_europe	824
9693	1	central_europe	827
9697	1	italy_balkan_caucasus	831
9705	1	italy_balkan_caucasus	838
9706	1	italy_balkan_caucasus	839
9708	1	italy_balkan_caucasus	841
9709	1	italy_balkan_caucasus	842
9735	1	central_europe	865
9737	1	asia	867
9739	1	central_europe	869
9741	1	central_europe	870
9748	1	admixed	875
9756	1	central_europe	879
9764	1	admixed	885
9766	1	asia	886
9784	1	central_europe	902
9794	1	central_europe	912
9801	1	central_europe	919
9802	1	central_europe	920
9811	1	central_europe	929
9813	1	central_europe	931
9819	1	spain	936
9820	1	spain	937
9837	1	relict	953
9840	1	spain	956
9844	1	spain	959
9849	1	admixed	964
9864	1	spain	978
9871	1	relict	984
9879	1	relict	991
9888	1	spain	999
9890	1	admixed	1000
9892	1	admixed	1002
9895	1	spain	1004
9900	1	spain	1008
9906	1	admixed	1014
9921	1	western_europe	1025
9927	1	western_europe	1029
9944	1	relict	1042
9950	1	spain	1048
9962	1	italy_balkan_caucasus	1058
9968	1	italy_balkan_caucasus	1063
9978	1	central_europe	1072
9986	1	italy_balkan_caucasus	1080
9991	1	italy_balkan_caucasus	1084
10002	2	western_europe	1092
10005	2	central_europe	1094
10008	2	asia	1096
10011	2	asia	1099
10023	2	admixed	1108
1257	2	north_sweden	54
1890	2	asia	78
2202	2	admixed	90
2317	2	admixed	98
424	2	central_europe	13
428	2	central_europe	14
4900	2	western_europe	106
5023	2	western_europe	109
5165	2	admixed	112
5253	2	western_europe	116
5486	2	germany	122
5779	2	western_europe	136
5837	2	central_europe	146
5907	2	central_europe	154
5993	2	central_europe	158
6008	2	central_europe	159
6017	2	north_sweden	166
6041	2	south_sweden	181
6046	2	north_sweden	184
6071	2	north_sweden	188
6086	2	admixed	194
6092	2	south_sweden	199
6100	2	south_sweden	206
6106	2	south_sweden	211
6114	2	south_sweden	218
6118	2	south_sweden	220
6125	2	south_sweden	225
6137	2	south_sweden	233
6138	2	south_sweden	234
6149	2	south_sweden	240
6151	2	south_sweden	242
6169	2	north_sweden	247
6191	2	south_sweden	256
6193	2	south_sweden	258
6242	2	south_sweden	279
6244	2	north_sweden	281
6258	2	admixed	284
6390	2	central_europe	289
6900	2	north_sweden	307
6909	2	germany	313
6975	2	central_europe	351
6990	2	admixed	360
7002	2	germany	364
7026	2	western_europe	370
7058	2	admixed	375
7062	2	germany	377
7092	2	western_europe	386
7096	2	admixed	388
7103	2	central_europe	390
7107	2	western_europe	392
7109	2	western_europe	393
7133	2	germany	402
7143	2	germany	404
7147	2	admixed	405
7161	2	germany	408
7169	2	admixed	413
7213	2	admixed	425
7217	2	western_europe	426
7236	2	central_europe	430
7250	2	germany	433
7280	2	germany	439
7314	2	admixed	448
7343	2	south_sweden	460
7346	2	south_sweden	462
7387	2	western_europe	478
7419	2	germany	488
7427	2	central_europe	490
7477	2	admixed	496
772	2	asia	32
7947	2	germany	513
8077	2	germany	516
8235	2	central_europe	526
8240	2	south_sweden	531
8249	2	south_sweden	538
8259	2	south_sweden	541
8283	2	south_sweden	543
8311	2	central_europe	550
8343	2	admixed	556
8424	2	asia	569
