accession_id	fold	genetic_group	nearclone_block
10005	0	central_europe	1094
10006	0	italy_balkan_caucasus	1095
10011	0	asia	1099
1002	0	south_sweden	44
10022	0	admixed	1107
1061	0	south_sweden	46
1257	0	north_sweden	54
159	0	western_europe	7
1872	0	germany	77
2276	0	admixed	94
2317	0	admixed	98
428	0	central_europe	14
4884	0	western_europe	105
5023	0	western_europe	109
5104	0	germany	110
5253	0	western_europe	116
5276	0	western_europe	117
5644	0	western_europe	124
5741	0	western_europe	130
5748	0	germany	131
5779	0	western_europe	136
5811	0	admixed	140
5984	0	central_europe	157
6024	0	south_sweden	172
6046	0	north_sweden	184
6071	0	north_sweden	188
6074	0	south_sweden	190
6090	0	south_sweden	197
6097	0	south_sweden	203
6102	0	south_sweden	208
6107	0	south_sweden	212
6118	0	south_sweden	220
6126	0	south_sweden	226
6133	0	south_sweden	230
6136	0	south_sweden	232
6174	0	north_sweden	250
6192	0	south_sweden	257
6193	0	south_sweden	258
6194	0	south_sweden	259
6237	0	north_sweden	275
630	0	western_europe	22
6901	0	north_sweden	308
6967	0	western_europe	344
6975	0	central_europe	351
6987	0	admixed	358
7063	0	relict	378
7067	0	central_europe	380
7109	0	western_europe	393
7120	0	central_europe	397
7138	0	admixed	403
7160	0	germany	407
7161	0	germany	408
7163	0	admixed	410
7169	0	admixed	413
7177	0	central_europe	414
7192	0	germany	418
7213	0	admixed	425
7218	0	admixed	427
7255	0	germany	434
7288	0	admixed	442
7319	0	admixed	450
7328	0	spain	455
7333	0	central_europe	457
7346	0	south_sweden	462
7349	0	central_europe	464
7372	0	central_europe	471
7418	0	admixed	487
7516	0	germany	499
766	0	asia	30
768	0	asia	31
7917	0	germany	512
7947	0	germany	513
8230	0	south_sweden	522
8237	0	south_sweden	528
8238	0	germany	529
8246	0	germany	536
8312	0	germany	551
8326	0	south_sweden	552
8335	0	south_sweden	554
8351	0	north_sweden	557
8354	0	asia	558
8369	0	south_sweden	562
8386	0	central_europe	564
8387	0	germany	565
8420	0	germany	567
9067	0	italy_balkan_caucasus	578
9075	0	italy_balkan_caucasus	581
9078	0	italy_balkan_caucasus	582
9079	0	italy_balkan_caucasus	583
9091	0	italy_balkan_caucasus	588
9104	0	italy_balkan_caucasus	594
9113	0	italy_balkan_caucasus	598
9114	0	italy_balkan_caucasus	599
9125	0	asia	602
9128	0	asia	603
9130	0	asia	604
9131	0	asia	605
9133	0	asia	606
915	0	germany	39
9386	0	north_sweden	627
9394	0	admixed	632
9402	0	south_sweden	635
9407	0	south_sweden	638
9412	0	south_sweden	641
9436	0	south_sweden	647
9512	0	spain	667
9522	0	spain	676
9523	0	admixed	677
9529	0	admixed	683
9534	0	spain	688
9535	0	spain	689
9537	0	spain	691
9540	0	spain	693
9542	0	relict	695
9551	0	admixed	704
9561	0	admixed	714
9576	0	admixed	724
9578	0	western_europe	726
9582	0	spain	729
9589	0	spain	736
9592	0	admixed	739
9596	0	admixed	743
9597	0	spain	744
9599	0	western_europe	746
9633	0	asia	774
9635	0	asia	776
9639	0	asia	780
9640	0	asia	781
9646	0	italy_balkan_caucasus	787
9649	0	italy_balkan_caucasus	790
9651	0	italy_balkan_caucasus	791
9657	0	italy_balkan_caucasus	795
9669	0	central_europe	806
9672	0	central_europe	809
9680	0	central_europe	815
9687	0	central_europe	822
9693	0	central_europe	827
9695	0	central_europe	829
9698	0	italy_balkan_caucasus	832
9713	0	italy_balkan_caucasus	846
9723	0	italy_balkan_caucasus	855
9727	0	central_europe	858
9730	0	central_europe	861
9733	0	central_europe	864
9735	0	central_europe	865
9736	0	admixed	866
9738	0	admixed	868
9757	0	italy_balkan_caucasus	880
9764	0	admixed	885
9769	0	central_europe	888
9772	0	central_europe	891
9786	0	central_europe	904
9790	0	central_europe	908
9793	0	central_europe	911
9795	0	central_europe	913
9796	0	central_europe	914
9801	0	central_europe	919
9810	0	central_europe	928
9813	0	central_europe	931
9822	0	spain	939
9825	0	spain	942
9827	0	western_europe	944
9836	0	spain	952
9837	0	relict	953
9841	0	spain	957
9852	0	spain	967
9855	0	spain	970
9873	0	spain	985
9875	0	western_europe	987
9883	0	spain	995
9885	0	spain	996
9890	0	admixed	1000
9901	0	spain	1009
9905	0	relict	1013
9908	0	western_europe	1015
991	0	south_sweden	41
9914	0	central_europe	1020
9921	0	western_europe	1025
9930	0	central_europe	1032
9937	0	western_europe	1036
9968	0	italy_balkan_caucasus	1063
10001	1	western_europe	1091
10002	1	western_europe	1092
10008	1	asia	1096
10010	1	asia	1098
10020	1	central_europe	1106
1254	1	north_sweden	53
139	1	western_europe	6
265	1	admixed	8
351	1	western_europe	10
403	1	central_europe	11
430	1	central_europe	15
4807	1	western_europe	101
4958	1	western_europe	108
5151	1	admixed	111
5210	1	western_europe	113
5720	1	admixed	128
5907	1	central_europe	154
5950	1	central_europe	156
6009	1	north_sweden	160
6020	1	south_sweden	168
6038	1	south_sweden	178
6070	1	north_sweden	187
6092	1	south_sweden	199
6099	1	south_sweden	205
6104	1	south_sweden	209
6124	1	south_sweden	224
6137	1	south_sweden	233
6140	1	south_sweden	235
6142	1	south_sweden	237
6145	1	south_sweden	238
6172	1	north_sweden	248
6184	1	north_sweden	253
6188	1	south_sweden	254
6203	1	south_sweden	264
6241	1	north_sweden	278
6243	1	central_europe	280
6244	1	north_sweden	281
6434	1	admixed	293
6968	1	north_sweden	345
6979	1	central_europe	353
7008	1	germany	366
7013	1	south_sweden	367
7072	1	admixed	383
7094	1	germany	387
7147	1	admixed	405
7164	1	south_sweden	411
7181	1	admixed	415
7199	1	germany	419
7202	1	germany	420
7208	1	germany	423
7231	1	germany	429
7244	1	germany	431
7248	1	germany	432
7250	1	germany	433
7273	1	central_europe	437
7282	1	germany	440
7296	1	central_europe	443
7343	1	south_sweden	460
7344	1	admixed	461
7350	1	central_europe	465
7353	1	admixed	466
7356	1	germany	468
7373	1	admixed	472
7377	1	germany	473
7387	1	western_europe	478
7411	1	central_europe	482
7415	1	germany	484
7416	1	germany	485
7477	1	admixed	496
7517	1	germany	500
765	1	asia	29
7717	1	germany	509
8241	1	south_sweden	532
8242	1	south_sweden	533
8243	1	western_europe	534
8247	1	south_sweden	537
8249	1	south_sweden	538
8256	1	admixed	539
8264	1	spain	542
8337	1	western_europe	555
8343	1	admixed	556
8365	1	central_europe	560
8366	1	admixed	561
9070	1	italy_balkan_caucasus	580
9081	1	italy_balkan_caucasus	584
9102	1	italy_balkan_caucasus	592
9111	1	italy_balkan_caucasus	597
9134	1	asia	607
9298	1	western_europe	608
9380	1	south_sweden	623
9383	1	admixed	626
9395	1	south_sweden	633
9408	1	south_sweden	639
9413	1	south_sweden	642
9421	1	south_sweden	644
9437	1	south_sweden	648
9519	1	spain	673
9526	1	spain	680
9527	1	admixed	681
9539	1	spain	692
9541	1	spain	694
9545	1	relict	698
9547	1	spain	700
9553	1	spain	706
9555	1	relict	708
9559	1	admixed	712
9562	1	spain	715
9583	1	relict	730
9584	1	spain	731
9590	1	western_europe	737
9609	1	asia	753
9613	1	italy_balkan_caucasus	757
9630	1	asia	771
9643	1	asia	784
9644	1	central_europe	785
9653	1	italy_balkan_caucasus	792
9660	1	italy_balkan_caucasus	798
9663	1	admixed	800
9664	1	central_europe	801
9671	1	central_europe	808
9683	1	central_europe	818
9686	1	central_europe	821
9691	1	admixed	825
9694	1	central_europe	828
9705	1	italy_balkan_caucasus	838
9706	1	italy_balkan_caucasus	839
9707	1	italy_balkan_caucasus	840
9710	1	italy_balkan_caucasus	843
9714	1	italy_balkan_caucasus	847
9721	1	italy_balkan_caucasus	853
9725	1	italy_balkan_caucasus	856
9732	1	central_europe	863
9739	1	central_europe	869
9743	1	admixed	871
9747	1	central_europe	874
9756	1	central_europe	879
9758	1	asia	881
9762	1	admixed	884
9775	1	central_europe	893
9782	1	central_europe	900
9785	1	central_europe	903
9791	1	central_europe	909
9798	1	central_europe	916
9800	1	central_europe	918
9803	1	central_europe	921
9805	1	central_europe	923
9806	1	central_europe	924
9817	1	spain	935
9823	1	western_europe	940
9840	1	spain	956
9846	1	spain	961
9848	1	spain	963
9849	1	admixed	964
9859	1	spain	974
9866	1	spain	979
9867	1	spain	980
9871	1	relict	984
9876	1	spain	988
9886	1	spain	997
9910	1	western_europe	1017
9911	1	western_europe	1018
9917	1	western_europe	1022
992	1	south_sweden	42
9929	1	western_europe	1031
9942	1	spain	1040
9949	1	western_europe	1047
9950	1	spain	1048
9952	1	asia	1050
9953	1	asia	1051
9955	1	asia	1052
9956	1	asia	1053
9960	1	asia	1057
9969	1	italy_balkan_caucasus	1064
9970	1	central_europe	1065
9976	1	central_europe	1071
9982	1	italy_balkan_caucasus	1076
9983	1	admixed	1077
9985	1	italy_balkan_caucasus	1079
9988	1	italy_balkan_caucasus	1082
9991	1	italy_balkan_caucasus	1084
9996	1	central_europe	1087
9998	1	admixed	1089
10004	2	italy_balkan_caucasus	1093
1062	2	south_sweden	47
1063	2	south_sweden	48
108	2	western_europe	5
1158	2	south_sweden	51
1890	2	asia	78
1925	2	germany	79
350	2	western_europe	9
410	2	central_europe	12
424	2	central_europe	13
5236	2	western_europe	114
5349	2	western_europe	119
5353	2	western_europe	120
5486	2	germany	122
5726	2	western_europe	129
5768	2	admixed	133
5772	2	admixed	134
5874	2	central_europe	151
5893	2	central_europe	153
6008	2	central_europe	159
6013	2	north_sweden	164
6016	2	north_sweden	165
6039	2	admixed	179
6041	2	south_sweden	181
6064	2	north_sweden	185
6073	2	south_sweden	189
6098	2	south_sweden	204
6100	2	south_sweden	206
6109	2	south_sweden	214
6111	2	south_sweden	215
