accession_id	fold	genetic_group	nearclone_block
10008	0	asia	1096
10010	0	asia	1098
10011	0	asia	1099
10017	0	central_europe	1104
1062	0	south_sweden	47
1872	0	germany	77
1925	0	germany	79
1954	0	germany	80
4900	0	western_europe	106
5165	0	admixed	112
5210	0	western_europe	113
5253	0	western_europe	116
5644	0	western_europe	124
5720	0	admixed	128
5831	0	south_sweden	143
5865	0	south_sweden	149
5890	0	central_europe	152
5893	0	central_europe	153
5907	0	central_europe	154
5950	0	central_europe	156
6008	0	central_europe	159
6036	0	south_sweden	177
6038	0	south_sweden	178
6070	0	north_sweden	187
6098	0	south_sweden	204
6109	0	south_sweden	214
6137	0	south_sweden	233
6138	0	south_sweden	234
6169	0	north_sweden	247
6189	0	south_sweden	255
6201	0	south_sweden	262
6202	0	south_sweden	263
6217	0	north_sweden	269
6221	0	north_sweden	272
6434	0	admixed	293
6680	0	western_europe	295
6901	0	north_sweden	308
6984	0	central_europe	356
6989	0	western_europe	359
7008	0	germany	366
7058	0	admixed	375
7062	0	germany	377
7102	0	germany	389
7120	0	central_europe	397
7127	0	admixed	400
7130	0	western_europe	401
7165	0	germany	412
7169	0	admixed	413
7181	0	admixed	415
7186	0	central_europe	417
7192	0	germany	418
7218	0	admixed	427
7223	0	central_europe	428
7248	0	germany	432
7258	0	germany	435
7273	0	central_europe	437
7287	0	germany	441
7298	0	central_europe	444
7305	0	admixed	445
7306	0	western_europe	446
7316	0	admixed	449
7320	0	western_europe	451
7342	0	admixed	459
7382	0	admixed	475
7404	0	admixed	481
7418	0	admixed	487
7427	0	central_europe	490
7717	0	germany	509
7947	0	germany	513
801	0	germany	33
8231	0	south_sweden	523
8238	0	germany	529
8241	0	south_sweden	532
8290	0	central_europe	546
8297	0	western_europe	547
8306	0	south_sweden	548
8334	0	admixed	553
8335	0	south_sweden	554
8343	0	admixed	556
8376	0	north_sweden	563
9070	0	italy_balkan_caucasus	580
9079	0	italy_balkan_caucasus	583
9081	0	italy_balkan_caucasus	584
9091	0	italy_balkan_caucasus	588
9100	0	italy_balkan_caucasus	591
9106	0	italy_balkan_caucasus	596
9128	0	asia	603
9130	0	asia	604
932	0	western_europe	40
9343	0	admixed	616
9352	0	south_sweden	617
9386	0	north_sweden	627
9407	0	south_sweden	638
9412	0	south_sweden	641
9413	0	south_sweden	642
9416	0	south_sweden	643
9442	0	germany	649
9452	0	south_sweden	652
9455	0	south_sweden	655
9470	0	south_sweden	656
9513	0	admixed	668
9535	0	spain	689
9540	0	spain	693
9544	0	spain	697
9553	0	spain	706
9555	0	relict	708
9558	0	admixed	711
9559	0	admixed	712
9560	0	spain	713
9571	0	western_europe	721
9573	0	spain	722
9593	0	spain	740
9597	0	spain	744
9599	0	western_europe	746
9602	0	spain	749
9617	0	asia	760
9631	0	asia	772
9634	0	asia	775
9641	0	asia	782
9642	0	asia	783
9643	0	asia	784
9649	0	italy_balkan_caucasus	790
9651	0	italy_balkan_caucasus	791
9659	0	italy_balkan_caucasus	797
9663	0	admixed	800
9669	0	central_europe	806
9676	0	central_europe	811
9682	0	central_europe	817
9685	0	central_europe	820
9690	0	central_europe	824
9696	0	central_europe	830
