accession_id	fold	genetic_group	nearclone_block
10006	0	italy_balkan_caucasus	1095
1063	0	south_sweden	48
1158	0	south_sweden	51
139	0	western_europe	6
159	0	western_europe	7
1890	0	asia	78
1925	0	germany	79
2171	0	germany	88
2278	0	germany	95
2317	0	admixed	98
351	0	western_europe	10
403	0	central_europe	11
410	0	central_europe	12
424	0	central_europe	13
4958	0	western_europe	108
5253	0	western_europe	116
5353	0	western_europe	120
5811	0	admixed	140
6008	0	central_europe	159
6011	0	north_sweden	162
6023	0	south_sweden	171
6036	0	south_sweden	177
6040	0	south_sweden	180
6043	0	north_sweden	183
6073	0	south_sweden	189
6086	0	admixed	194
6100	0	south_sweden	206
6104	0	south_sweden	209
6109	0	south_sweden	214
6124	0	south_sweden	224
6138	0	south_sweden	234
6145	0	south_sweden	238
6151	0	south_sweden	242
6169	0	north_sweden	247
6172	0	north_sweden	248
6189	0	south_sweden	255
6203	0	south_sweden	264
6221	0	north_sweden	272
6237	0	north_sweden	275
6242	0	south_sweden	279
6390	0	central_europe	289
6434	0	admixed	293
6967	0	western_europe	344
6975	0	central_europe	351
7008	0	germany	366
7026	0	western_europe	370
7058	0	admixed	375
7064	0	western_europe	379
7067	0	central_europe	380
7102	0	germany	389
7117	0	germany	395
7143	0	germany	404
7181	0	admixed	415
7192	0	germany	418
7207	0	central_europe	422
7218	0	admixed	427
7223	0	central_europe	428
7236	0	central_europe	430
7276	0	germany	438
7282	0	germany	440
7287	0	germany	441
7288	0	admixed	442
7316	0	admixed	449
7319	0	admixed	450
7320	0	western_europe	451
7337	0	germany	458
7342	0	admixed	459
7344	0	admixed	461
7349	0	central_europe	464
7378	0	admixed	474
7404	0	admixed	481
7419	0	germany	488
7517	0	germany	500
8132	0	germany	517
8234	0	south_sweden	525
8237	0	south_sweden	528
8242	0	south_sweden	533
8256	0	admixed	539
8290	0	central_europe	546
8311	0	central_europe	550
8366	0	admixed	561
8369	0	south_sweden	562
8387	0	germany	565
88	0	western_europe	4
9057	0	south_sweden	576
9103	0	italy_balkan_caucasus	593
9121	0	italy_balkan_caucasus	601
9130	0	asia	604
9323	0	north_sweden	612
9336	0	admixed	614
9339	0	south_sweden	615
9353	0	south_sweden	618
9386	0	north_sweden	627
9453	0	south_sweden	653
9470	0	south_sweden	656
9507	0	spain	662
9509	0	spain	664
9513	0	admixed	668
9519	0	spain	673
9524	0	spain	678
9526	0	spain	680
9527	0	admixed	681
9529	0	admixed	683
9539	0	spain	692
9560	0	spain	713
9567	0	spain	718
9585	0	western_europe	732
9587	0	spain	734
9592	0	admixed	739
9594	0	spain	741
9600	0	relict	747
9602	0	spain	749
9611	0	asia	755
9619	0	asia	761
9624	0	asia	765
9625	0	asia	766
9628	0	asia	769
9629	0	asia	770
9634	0	asia	775
9639	0	asia	780
9640	0	asia	781
9645	0	central_europe	786
9648	0	italy_balkan_caucasus	789
9653	0	italy_balkan_caucasus	792
9655	0	italy_balkan_caucasus	793
9657	0	italy_balkan_caucasus	795
9661	0	italy_balkan_caucasus	799
9668	0	central_europe	805
9670	0	central_europe	807
9677	0	central_europe	812
9679	0	central_europe	814
9683	0	central_europe	818
9692	0	central_europe	826
9693	0	central_europe	827
9701	0	italy_balkan_caucasus	835
9706	0	italy_balkan_caucasus	839
9708	0	italy_balkan_caucasus	841
9711	0	italy_balkan_caucasus	844
9719	0	italy_balkan_caucasus	851
9725	0	italy_balkan_caucasus	856
9726	0	italy_balkan_caucasus	857
9741	0	central_europe	870
9745	0	asia	873
9757	0	italy_balkan_caucasus	880
9759	0	italy_balkan_caucasus	882
9776	0	central_europe	894
9786	0	central_europe	904
9788	0	central_europe	906
9791	0	central_europe	909
9804	0	central_europe	922
9810	0	central_europe	928
9811	0	central_europe	929
9827	0	western_europe	944
9832	0	relict	948
9836	0	spain	952
9848	0	spain	963
9855	0	spain	970
9857	0	spain	972
9870	0	spain	983
9873	0	spain	985
9875	0	western_europe	987
9881	0	admixed	993
9882	0	spain	994
9892	0	admixed	1002
9898	0	spain	1006
9905	0	relict	1013
9908	0	western_europe	1015
9926	0	western_europe	1028
9930	0	central_europe	1032
9933	0	admixed	1034
9935	0	western_europe	1035
9938	0	western_europe	1037
9944	0	relict	1042
9950	0	spain	1048
9958	0	asia	1055
9970	0	central_europe	1065
9971	0	central_europe	1066
9974	0	central_europe	1069
9980	0	italy_balkan_caucasus	1074
9981	0	italy_balkan_caucasus	1075
9995	0	central_europe	1086
10002	1	western_europe	1092
10004	1	italy_balkan_caucasus	1093
10005	1	central_europe	1094
10013	1	italy_balkan_caucasus	1101
10015	1	asia	1103
10018	1	central_europe	1105
1062	1	south_sweden	47
1257	1	north_sweden	54
1317	1	admixed	56
1829	1	germany	71
1853	1	germany	76
1872	1	germany	77
1954	1	germany	80
430	1	central_europe	15
4779	1	western_europe	100
5726	1	western_europe	129
5741	1	western_europe	130
5748	1	germany	131
5757	1	admixed	132
5779	1	western_europe	136
5830	1	south_sweden	142
5837	1	central_europe	146
5907	1	central_europe	154
5950	1	central_europe	156
5984	1	central_europe	157
5993	1	central_europe	158
6020	1	south_sweden	168
6034	1	south_sweden	175
6039	1	admixed	179
6041	1	south_sweden	181
6046	1	north_sweden	184
6097	1	south_sweden	203
6105	1	south_sweden	210
6114	1	south_sweden	218
6125	1	south_sweden	225
6126	1	south_sweden	226
6132	1	south_sweden	229
6133	1	south_sweden	230
6140	1	south_sweden	235
6142	1	south_sweden	237
6180	1	germany	252
6217	1	north_sweden	269
6238	1	north_sweden	276
6241	1	north_sweden	278
6243	1	central_europe	280
6445	1	central_europe	294
6900	1	north_sweden	307
6970	1	spain	347
6987	1	admixed	358
6990	1	admixed	360
7000	1	germany	363
7028	1	admixed	371
7062	1	germany	377
7077	1	italy_balkan_caucasus	384
7092	1	western_europe	386
7096	1	admixed	388
7106	1	central_europe	391
7107	1	western_europe	392
7109	1	western_europe	393
7126	1	admixed	399
7147	1	admixed	405
7164	1	south_sweden	411
7209	1	admixed	424
7244	1	germany	431
7248	1	germany	432
7273	1	central_europe	437
7306	1	western_europe	446
7332	1	western_europe	456
7343	1	south_sweden	460
7347	1	central_europe	463
7377	1	germany	473
7382	1	admixed	475
7383	1	western_europe	476
7477	1	admixed	496
765	1	asia	29
7917	1	germany	512
8222	1	south_sweden	520
8235	1	central_europe	526
8238	1	germany	529
8244	1	western_europe	535
8246	1	germany	536
8247	1	south_sweden	537
8259	1	south_sweden	541
8285	1	central_europe	545
8354	1	asia	558
8426	1	south_sweden	570
9075	1	italy_balkan_caucasus	581
9078	1	italy_balkan_caucasus	582
9079	1	italy_balkan_caucasus	583
9081	1	italy_balkan_caucasus	584
9084	1	italy_balkan_caucasus	585
9111	1	italy_balkan_caucasus	597
9125	1	asia	602
9380	1	south_sweden	623
9382	1	admixed	625
9399	1	south_sweden	634
9402	1	south_sweden	635
9413	1	south_sweden	642
9427	1	north_sweden	645
9442	1	germany	649
9455	1	south_sweden	655
9476	1	germany	658
9481	1	south_sweden	659
9510	1	spain	665
9517	1	western_europe	671
9518	1	spain	672
9521	1	spain	675
9523	1	admixed	677
9525	1	spain	679
9537	1	spain	691
9549	1	relict	702
9553	1	spain	706
9559	1	admixed	712
9573	1	spain	722
9576	1	admixed	724
9578	1	western_europe	726
9582	1	spain	729
9583	1	relict	730
9588	1	spain	735
9596	1	admixed	743
9608	1	asia	752
9610	1	asia	754
9617	1	asia	760
9620	1	asia	762
9626	1	asia	767
9633	1	asia	774
9638	1	asia	779
9643	1	asia	784
9646	1	italy_balkan_caucasus	787
9651	1	italy_balkan_caucasus	791
9660	1	italy_balkan_caucasus	798
9667	1	central_europe	804
9673	1	central_europe	810
9676	1	central_europe	811
9678	1	central_europe	813
9681	1	central_europe	816
9685	1	central_europe	820
9686	1	central_europe	821
9697	1	italy_balkan_caucasus	831
9698	1	italy_balkan_caucasus	832
