accession_id	fold	genetic_group	nearclone_block
139	0	western_europe	6
1552	0	north_sweden	57
1829	0	germany	71
1872	0	germany	77
1925	0	germany	79
410	0	central_europe	12
428	0	central_europe	14
4958	0	western_europe	108
5151	0	admixed	111
5236	0	western_europe	114
5349	0	western_europe	119
5353	0	western_europe	120
5486	0	germany	122
5772	0	admixed	134
5921	0	central_europe	155
6009	0	north_sweden	160
6021	0	south_sweden	169
6023	0	south_sweden	171
6035	0	south_sweden	176
6041	0	south_sweden	181
6043	0	north_sweden	183
6099	0	south_sweden	205
6100	0	south_sweden	206
6104	0	south_sweden	209
6107	0	south_sweden	212
6112	0	south_sweden	216
6124	0	south_sweden	224
6136	0	south_sweden	232
6138	0	south_sweden	234
6145	0	south_sweden	238
6148	0	south_sweden	239
6151	0	south_sweden	242
6177	0	north_sweden	251
6189	0	south_sweden	255
6194	0	south_sweden	259
6195	0	south_sweden	260
6202	0	south_sweden	263
6218	0	north_sweden	270
6237	0	north_sweden	275
6238	0	north_sweden	276
6240	0	north_sweden	277
6974	0	south_sweden	350
6975	0	central_europe	351
6986	0	western_europe	357
7002	0	germany	364
7008	0	germany	366
7026	0	western_europe	370
7031	0	germany	372
7062	0	germany	377
7067	0	central_europe	380
7077	0	italy_balkan_caucasus	384
7092	0	western_europe	386
7109	0	western_europe	393
7117	0	germany	395
7120	0	central_europe	397
7160	0	germany	407
7177	0	central_europe	414
7217	0	western_europe	426
7218	0	admixed	427
7255	0	germany	434
7287	0	germany	441
7305	0	admixed	445
7319	0	admixed	450
7343	0	south_sweden	460
7344	0	admixed	461
7346	0	south_sweden	462
7353	0	admixed	466
7372	0	central_europe	471
7377	0	germany	473
7387	0	western_europe	478
7394	0	admixed	479
7424	0	central_europe	489
766	0	asia	30
768	0	asia	31
7917	0	germany	512
8227	0	north_sweden	521
8233	0	germany	524
8236	0	central_europe	527
8334	0	admixed	553
9085	0	italy_balkan_caucasus	586
9095	0	italy_balkan_caucasus	589
9104	0	italy_balkan_caucasus	594
9105	0	italy_balkan_caucasus	595
9125	0	asia	602
9298	0	western_europe	608
9323	0	north_sweden	612
