accession_id	fold	genetic_group	nearclone_block
10008	0	asia	1096
10011	0	asia	1099
10017	0	central_europe	1104
1061	0	south_sweden	46
1062	0	south_sweden	47
1063	0	south_sweden	48
139	0	western_europe	6
1829	0	germany	71
428	0	central_europe	14
4779	0	western_europe	100
4807	0	western_europe	101
4900	0	western_europe	106
5151	0	admixed	111
5236	0	western_europe	114
5253	0	western_europe	116
5353	0	western_europe	120
5644	0	western_europe	124
5768	0	admixed	133
5772	0	admixed	134
5831	0	south_sweden	143
5874	0	central_europe	151
6011	0	north_sweden	162
6030	0	north_sweden	174
6039	0	admixed	179
6042	0	admixed	182
6043	0	north_sweden	183
6046	0	north_sweden	184
6074	0	south_sweden	190
6085	0	south_sweden	193
6102	0	south_sweden	208
6104	0	south_sweden	209
6105	0	south_sweden	210
6114	0	south_sweden	218
6118	0	south_sweden	220
6122	0	south_sweden	222
6138	0	south_sweden	234
6173	0	north_sweden	249
6188	0	south_sweden	254
6191	0	south_sweden	256
6193	0	south_sweden	258
6198	0	south_sweden	261
6218	0	north_sweden	270
6220	0	north_sweden	271
6258	0	admixed	284
6434	0	admixed	293
6901	0	north_sweden	308
6981	0	admixed	354
7000	0	germany	363
7025	0	central_europe	369
7036	0	germany	374
7077	0	italy_balkan_caucasus	384
7094	0	germany	387
7107	0	western_europe	392
7120	0	central_europe	397
7125	0	germany	398
7133	0	germany	402
7160	0	germany	407
7161	0	germany	408
7181	0	admixed	415
7202	0	germany	420
7208	0	germany	423
7209	0	admixed	424
7223	0	central_europe	428
7258	0	germany	435
7273	0	central_europe	437
7322	0	germany	452
7333	0	central_europe	457
7344	0	admixed	461
7350	0	central_europe	465
7353	0	admixed	466
7372	0	central_europe	471
7378	0	admixed	474
7411	0	central_europe	482
7416	0	germany	485
7418	0	admixed	487
7419	0	germany	488
7517	0	germany	500
768	0	asia	31
8227	0	north_sweden	521
8297	0	western_europe	547
8335	0	south_sweden	554
8366	0	admixed	561
8369	0	south_sweden	562
8386	0	central_europe	564
9079	0	italy_balkan_caucasus	583
9102	0	italy_balkan_caucasus	592
9103	0	italy_balkan_caucasus	593
9104	0	italy_balkan_caucasus	594
9105	0	italy_balkan_caucasus	595
9298	0	western_europe	608
9353	0	south_sweden	618
9371	0	north_sweden	622
9381	0	admixed	624
9391	0	south_sweden	630
9407	0	south_sweden	638
9409	0	south_sweden	640
9416	0	south_sweden	643
9421	0	south_sweden	644
9453	0	south_sweden	653
9476	0	germany	658
9503	0	western_europe	660
9508	0	admixed	663
9509	0	spain	664
9510	0	spain	665
9511	0	spain	666
9512	0	spain	667
9526	0	spain	680
9529	0	admixed	683
9531	0	spain	685
9533	0	relict	687
9537	0	spain	691
9544	0	spain	697
9545	0	relict	698
9552	0	admixed	705
9569	0	western_europe	720
9577	0	spain	725
9601	0	spain	748
9602	0	spain	749
9606	0	relict	750
9607	0	asia	751
9609	0	asia	753
9610	0	asia	754
9615	0	asia	758
