accession_id	fold	genetic_group	nearclone_block
10017	0	central_europe	1104
2016	0	admixed	81
265	0	admixed	8
350	0	western_europe	9
403	0	central_europe	11
5023	0	western_europe	109
5104	0	germany	110
5210	0	western_europe	113
5577	0	western_europe	123
5644	0	western_europe	124
5768	0	admixed	133
5800	0	germany	139
5830	0	south_sweden	142
5867	0	south_sweden	150
5890	0	central_europe	152
5993	0	central_europe	158
6008	0	central_europe	159
6013	0	north_sweden	164
6020	0	south_sweden	168
6025	0	north_sweden	173
6034	0	south_sweden	175
6038	0	south_sweden	178
6039	0	admixed	179
6064	0	north_sweden	185
6071	0	north_sweden	188
6073	0	south_sweden	189
6088	0	south_sweden	196
6115	0	south_sweden	219
6122	0	south_sweden	222
6128	0	south_sweden	227
6131	0	south_sweden	228
6140	0	south_sweden	235
6149	0	south_sweden	240
6193	0	south_sweden	258
6201	0	south_sweden	262
6209	0	north_sweden	265
6210	0	north_sweden	266
6252	0	germany	282
6268	0	germany	285
6284	0	south_sweden	287
6918	0	north_sweden	318
6963	0	asia	342
6973	0	germany	349
6982	0	germany	355
6984	0	central_europe	356
6990	0	admixed	360
6992	0	admixed	361
7025	0	central_europe	369
7036	0	germany	374
7061	0	admixed	376
7102	0	germany	389
7107	0	western_europe	392
7133	0	germany	402
7143	0	germany	404
7161	0	germany	408
7164	0	south_sweden	411
7181	0	admixed	415
7273	0	central_europe	437
7307	0	western_europe	447
7316	0	admixed	449
7320	0	western_europe	451
7328	0	spain	455
7349	0	central_europe	464
7416	0	germany	485
7418	0	admixed	487
7419	0	germany	488
7430	0	admixed	491
7717	0	germany	509
8077	0	germany	516
8238	0	germany	529
8243	0	western_europe	534
8244	0	western_europe	535
8249	0	south_sweden	538
8256	0	admixed	539
8264	0	spain	542
8285	0	central_europe	545
8297	0	western_europe	547
8337	0	western_europe	555
8422	0	south_sweden	568
9070	0	italy_balkan_caucasus	580
9075	0	italy_balkan_caucasus	581
9089	0	italy_balkan_caucasus	587
9091	0	italy_balkan_caucasus	588
