accession_id	fold	genetic_group	nearclone_block
10004	0	italy_balkan_caucasus	1093
10008	0	asia	1096
10013	0	italy_balkan_caucasus	1101
1002	0	south_sweden	44
10020	0	central_europe	1106
1061	0	south_sweden	46
1853	0	germany	76
2016	0	admixed	81
350	0	western_europe	9
351	0	western_europe	10
5893	0	central_europe	153
6008	0	central_europe	159
6012	0	north_sweden	163
6016	0	north_sweden	165
6023	0	south_sweden	171
6025	0	north_sweden	173
6036	0	south_sweden	177
6038	0	south_sweden	178
6042	0	admixed	182
6046	0	north_sweden	184
6071	0	north_sweden	188
6085	0	south_sweden	193
6111	0	south_sweden	215
6115	0	south_sweden	219
6126	0	south_sweden	226
6151	0	south_sweden	242
6180	0	germany	252
6192	0	south_sweden	257
6198	0	south_sweden	261
6202	0	south_sweden	263
6284	0	south_sweden	287
6296	0	central_europe	288
6434	0	admixed	293
6680	0	western_europe	295
6744	0	germany	298
6900	0	north_sweden	307
6918	0	north_sweden	318
6986	0	western_europe	357
6992	0	admixed	361
7013	0	south_sweden	367
7025	0	central_europe	369
7026	0	western_europe	370
7031	0	germany	372
7062	0	germany	377
7094	0	germany	387
7103	0	central_europe	390
7106	0	central_europe	391
7120	0	central_europe	397
7130	0	western_europe	401
7147	0	admixed	405
7161	0	germany	408
7162	0	germany	409
7164	0	south_sweden	411
7181	0	admixed	415
7236	0	central_europe	430
7250	0	germany	433
7288	0	admixed	442
7306	0	western_europe	446
7307	0	western_europe	447
7337	0	germany	458
7372	0	central_europe	471
7377	0	germany	473
7382	0	admixed	475
7384	0	admixed	477
7415	0	germany	484
768	0	asia	31
7947	0	germany	513
8233	0	germany	524
8236	0	central_europe	527
8241	0	south_sweden	532
8242	0	south_sweden	533
8243	0	western_europe	534
8244	0	western_europe	535
8246	0	germany	536
8249	0	south_sweden	538
8284	0	central_europe	544
8306	0	south_sweden	548
8354	0	asia	558
8369	0	south_sweden	562
8376	0	north_sweden	563
9057	0	south_sweden	576
9067	0	italy_balkan_caucasus	578
9079	0	italy_balkan_caucasus	583
9081	0	italy_balkan_caucasus	584
9085	0	italy_balkan_caucasus	586
9125	0	asia	602
9128	0	asia	603
9321	0	north_sweden	611
9323	0	north_sweden	612
9343	0	admixed	616
9369	0	south_sweden	620
9436	0	south_sweden	647
9437	0	south_sweden	648
9442	0	germany	649
9453	0	south_sweden	653
9503	0	western_europe	660
9506	0	admixed	661
9510	0	spain	665
9512	0	spain	667
9514	0	spain	669
9517	0	western_europe	671
9519	0	spain	673
9523	0	admixed	677
9530	0	admixed	684
9533	0	relict	687
9536	0	admixed	690
9539	0	spain	692
9547	0	spain	700
9553	0	spain	706
9559	0	admixed	712
9579	0	admixed	727
9581	0	admixed	728
9596	0	admixed	743
9598	0	relict	745
9606	0	relict	750
9612	0	asia	756
9615	0	asia	758
9617	0	asia	760
9631	0	asia	772
9638	0	asia	779
9639	0	asia	780
9648	0	italy_balkan_caucasus	789
9655	0	italy_balkan_caucasus	793
9665	0	central_europe	802
9667	0	central_europe	804
9672	0	central_europe	809
9680	0	central_europe	815
9685	0	central_europe	820
9687	0	central_europe	822
9691	0	admixed	825
9697	0	italy_balkan_caucasus	831
9698	0	italy_balkan_caucasus	832
9710	0	italy_balkan_caucasus	843
9712	0	italy_balkan_caucasus	845
9714	0	italy_balkan_caucasus	847
9723	0	italy_balkan_caucasus	855
9729	0	central_europe	860
9738	0	admixed	868
9781	0	central_europe	899
9782	0	central_europe	900
9785	0	central_europe	903
9786	0	central_europe	904
9787	0	central_europe	905
