accession_id	fold	genetic_group	nearclone_block
10005	0	central_europe	1094
10008	0	asia	1096
10009	0	asia	1097
10012	0	italy_balkan_caucasus	1100
10013	0	italy_balkan_caucasus	1101
1257	0	north_sweden	54
2171	0	germany	88
350	0	western_europe	9
4884	0	western_europe	105
4958	0	western_europe	108
5353	0	western_europe	120
5748	0	germany	131
5768	0	admixed	133
5772	0	admixed	134
5950	0	central_europe	156
6021	0	south_sweden	169
6023	0	south_sweden	171
6038	0	south_sweden	178
6064	0	north_sweden	185
6076	0	south_sweden	191
6085	0	south_sweden	193
6094	0	south_sweden	200
6104	0	south_sweden	209
6105	0	south_sweden	210
6107	0	south_sweden	212
6108	0	western_europe	213
6109	0	south_sweden	214
6122	0	south_sweden	222
6128	0	south_sweden	227
6133	0	south_sweden	230
6142	0	south_sweden	237
6148	0	south_sweden	239
6149	0	south_sweden	240
6180	0	germany	252
6198	0	south_sweden	261
6203	0	south_sweden	264
6220	0	north_sweden	271
6243	0	central_europe	280
6252	0	germany	282
6268	0	germany	285
6396	0	central_europe	290
6909	0	germany	313
6975	0	central_europe	351
6986	0	western_europe	357
7002	0	germany	364
7026	0	western_europe	370
7036	0	germany	374
7058	0	admixed	375
7077	0	italy_balkan_caucasus	384
7092	0	western_europe	386
7103	0	central_europe	390
7107	0	western_europe	392
7125	0	germany	398
7161	0	germany	408
7162	0	germany	409
7163	0	admixed	410
7165	0	germany	412
7177	0	central_europe	414
7209	0	admixed	424
7255	0	germany	434
7276	0	germany	438
7316	0	admixed	449
7344	0	admixed	461
7349	0	central_europe	464
7372	0	central_europe	471
7382	0	admixed	475
7394	0	admixed	479
7411	0	central_europe	482
7413	0	central_europe	483
7415	0	germany	484
7430	0	admixed	491
763	0	asia	28
768	0	asia	31
7947	0	germany	513
8227	0	north_sweden	521
8264	0	spain	542
8334	0	admixed	553
8366	0	admixed	561
8376	0	north_sweden	563
8386	0	central_europe	564
8424	0	asia	569
9075	0	italy_balkan_caucasus	581
9089	0	italy_balkan_caucasus	587
9102	0	italy_balkan_caucasus	592
