accession_id	fold	genetic_group	nearclone_block
10009	0	asia	1097
10011	0	asia	1099
1158	0	south_sweden	51
139	0	western_europe	6
1890	0	asia	78
1925	0	germany	79
2016	0	admixed	81
424	0	central_europe	13
5023	0	western_europe	109
5104	0	germany	110
5253	0	western_europe	116
5349	0	western_europe	119
5486	0	germany	122
5577	0	western_europe	123
5772	0	admixed	134
5784	0	admixed	137
5984	0	central_europe	157
6009	0	north_sweden	160
6024	0	south_sweden	172
6039	0	admixed	179
6040	0	south_sweden	180
6042	0	admixed	182
6076	0	south_sweden	191
6097	0	south_sweden	203
6105	0	south_sweden	210
6111	0	south_sweden	215
6124	0	south_sweden	224
6148	0	south_sweden	239
6184	0	north_sweden	253
6189	0	south_sweden	255
6193	0	south_sweden	258
6194	0	south_sweden	259
6195	0	south_sweden	260
6209	0	north_sweden	265
6242	0	south_sweden	279
6396	0	central_europe	290
6445	0	central_europe	294
6680	0	western_europe	295
6901	0	north_sweden	308
6967	0	western_europe	344
6973	0	germany	349
6984	0	central_europe	356
6987	0	admixed	358
6997	0	germany	362
7002	0	germany	364
7013	0	south_sweden	367
7025	0	central_europe	369
7068	0	italy_balkan_caucasus	381
7107	0	western_europe	392
7127	0	admixed	400
7138	0	admixed	403
7143	0	germany	404
7163	0	admixed	410
7181	0	admixed	415
7207	0	central_europe	422
7209	0	admixed	424
7248	0	germany	432
7255	0	germany	434
7280	0	germany	439
7296	0	central_europe	443
7306	0	western_europe	446
7328	0	spain	455
7350	0	central_europe	465
7356	0	germany	468
7372	0	central_europe	471
7411	0	central_europe	482
7418	0	admixed	487
7424	0	central_europe	489
8132	0	germany	517
8222	0	south_sweden	520
8236	0	central_europe	527
8241	0	south_sweden	532
8244	0	western_europe	535
8249	0	south_sweden	538
8259	0	south_sweden	541
8284	0	central_europe	544
8343	0	admixed	556
8357	0	spain	559
8366	0	admixed	561
8419	0	central_europe	566
8420	0	germany	567
8422	0	south_sweden	568
9057	0	south_sweden	576
9078	0	italy_balkan_caucasus	582
9084	0	italy_balkan_caucasus	585
9104	0	italy_balkan_caucasus	594
9105	0	italy_balkan_caucasus	595
915	0	germany	39
9395	0	south_sweden	633
9452	0	south_sweden	652
9476	0	germany	658
9503	0	western_europe	660
9511	0	spain	666
9519	0	spain	673
9524	0	spain	678
9525	0	spain	679
9533	0	relict	687
9536	0	admixed	690
9540	0	spain	693
9542	0	relict	695
9554	0	relict	707
9569	0	western_europe	720
9576	0	admixed	724
9582	0	spain	729
9592	0	admixed	739
9593	0	spain	740
9599	0	western_europe	746
9602	0	spain	749
9611	0	asia	755
9616	0	asia	759
9620	0	asia	762
9621	0	asia	763
9624	0	asia	765
