accession_id	fold	genetic_group	nearclone_block
10008	0	asia	1096
10009	0	asia	1097
10023	0	admixed	1108
1257	0	north_sweden	54
1829	0	germany	71
2016	0	admixed	81
2202	0	admixed	90
2317	0	admixed	98
428	0	central_europe	14
5276	0	western_europe	117
5644	0	western_europe	124
5720	0	admixed	128
5726	0	western_europe	129
5921	0	central_europe	155
5984	0	central_europe	157
5993	0	central_europe	158
6008	0	central_europe	159
6009	0	north_sweden	160
6020	0	south_sweden	168
6034	0	south_sweden	175
6041	0	south_sweden	181
6094	0	south_sweden	200
6097	0	south_sweden	203
6099	0	south_sweden	205
6108	0	western_europe	213
6114	0	south_sweden	218
6133	0	south_sweden	230
6134	0	south_sweden	231
6136	0	south_sweden	232
6138	0	south_sweden	234
6149	0	south_sweden	240
6150	0	south_sweden	241
6180	0	germany	252
6184	0	north_sweden	253
6198	0	south_sweden	261
6221	0	north_sweden	272
6244	0	north_sweden	281
6396	0	central_europe	290
6434	0	admixed	293
6967	0	western_europe	344
6987	0	admixed	358
7000	0	germany	363
7026	0	western_europe	370
7036	0	germany	374
7106	0	central_europe	391
7127	0	admixed	400
7130	0	western_europe	401
7158	0	central_europe	406
7161	0	germany	408
7163	0	admixed	410
7202	0	germany	420
7207	0	central_europe	422
7209	0	admixed	424
7244	0	germany	431
7258	0	germany	435
7268	0	admixed	436
7282	0	germany	440
7320	0	western_europe	451
7328	0	spain	455
7333	0	central_europe	457
7343	0	south_sweden	460
7346	0	south_sweden	462
7350	0	central_europe	465
7378	0	admixed	474
7384	0	admixed	477
7387	0	western_europe	478
7394	0	admixed	479
7396	0	central_europe	480
7516	0	germany	499
7517	0	germany	500
765	0	asia	29
772	0	asia	32
8233	0	germany	524
8235	0	central_europe	526
8237	0	south_sweden	528
8239	0	germany	530
8244	0	western_europe	535
8246	0	germany	536
8256	0	admixed	539
8259	0	south_sweden	541
8283	0	south_sweden	543
8343	0	admixed	556
8354	0	asia	558
8419	0	central_europe	566
870	0	germany	38
9079	0	italy_balkan_caucasus	583
9100	0	italy_balkan_caucasus	591
9103	0	italy_balkan_caucasus	593
9113	0	italy_balkan_caucasus	598
9125	0	asia	602
9336	0	admixed	614
9402	0	south_sweden	635
9404	0	south_sweden	636
9436	0	south_sweden	647
9442	0	germany	649
9509	0	spain	664
9518	0	spain	672
9535	0	spain	689
9539	0	spain	692
9549	0	relict	702
9555	0	relict	708
9562	0	spain	715
9565	0	admixed	717
9567	0	spain	718
9599	0	western_europe	746
9607	0	asia	751
9620	0	asia	762
9638	0	asia	779
9657	0	italy_balkan_caucasus	795
9661	0	italy_balkan_caucasus	799
9668	0	central_europe	805
9683	0	central_europe	818
9687	0	central_europe	822
9689	0	central_europe	823
