accession_id	fold	genetic_group	nearclone_block
10002	0	western_europe	1092
10010	0	asia	1098
10011	0	asia	1099
10012	0	italy_balkan_caucasus	1100
10015	0	asia	1103
1257	0	north_sweden	54
139	0	western_europe	6
159	0	western_europe	7
1872	0	germany	77
1890	0	asia	78
1925	0	germany	79
1954	0	germany	80
403	0	central_europe	11
410	0	central_europe	12
428	0	central_europe	14
430	0	central_europe	15
4958	0	western_europe	108
5253	0	western_europe	116
5276	0	western_europe	117
5784	0	admixed	137
5921	0	central_europe	155
6008	0	central_europe	159
6016	0	north_sweden	165
6021	0	south_sweden	169
6038	0	south_sweden	178
6074	0	south_sweden	190
6086	0	admixed	194
6090	0	south_sweden	197
6098	0	south_sweden	204
6122	0	south_sweden	222
6134	0	south_sweden	231
6191	0	south_sweden	256
6192	0	south_sweden	257
6198	0	south_sweden	261
6242	0	south_sweden	279
6680	0	western_europe	295
6901	0	north_sweden	308
6981	0	admixed	354
6982	0	germany	355
6986	0	western_europe	357
7013	0	south_sweden	367
7014	0	germany	368
7067	0	central_europe	380
7072	0	admixed	383
7077	0	italy_balkan_caucasus	384
7094	0	germany	387
7109	0	western_europe	393
7120	0	central_europe	397
7163	0	admixed	410
7164	0	south_sweden	411
7199	0	germany	419
7203	0	central_europe	421
7209	0	admixed	424
7231	0	germany	429
7236	0	central_europe	430
7248	0	germany	432
7250	0	germany	433
7255	0	germany	434
7287	0	germany	441
7296	0	central_europe	443
7344	0	admixed	461
7349	0	central_europe	464
7418	0	admixed	487
7424	0	central_europe	489
7460	0	central_europe	492
7471	0	admixed	494
7517	0	germany	500
8077	0	germany	516
8237	0	south_sweden	528
8264	0	spain	542
8334	0	admixed	553
8365	0	central_europe	560
8369	0	south_sweden	562
8419	0	central_europe	566
870	0	germany	38
9084	0	italy_balkan_caucasus	585
9106	0	italy_balkan_caucasus	596
9111	0	italy_balkan_caucasus	597
9125	0	asia	602
9336	0	admixed	614
9380	0	south_sweden	623
9382	0	admixed	625
9386	0	north_sweden	627
9392	0	south_sweden	631
9395	0	south_sweden	633
9399	0	south_sweden	634
9402	0	south_sweden	635
9405	0	south_sweden	637
9455	0	south_sweden	655
9470	0	south_sweden	656
9506	0	admixed	661
9511	0	spain	666
9515	0	spain	670
9517	0	western_europe	671
9519	0	spain	673
9522	0	spain	676
9524	0	spain	678
9541	0	spain	694
9542	0	relict	695
9559	0	admixed	712
9560	0	spain	713
9571	0	western_europe	721
9576	0	admixed	724
9579	0	admixed	727
9593	0	spain	740
9596	0	admixed	743
9597	0	spain	744
9600	0	relict	747
9602	0	spain	749
9606	0	relict	750
9607	0	asia	751
9610	0	asia	754
9615	0	asia	758
9621	0	asia	763
9622	0	admixed	764
9624	0	asia	765
9628	0	asia	769
9659	0	italy_balkan_caucasus	797
9669	0	central_europe	806
9670	0	central_europe	807
9680	0	central_europe	815
9681	0	central_europe	816
9687	0	central_europe	822
9695	0	central_europe	829
9700	0	italy_balkan_caucasus	834
9706	0	italy_balkan_caucasus	839
9712	0	italy_balkan_caucasus	845
9714	0	italy_balkan_caucasus	847
9717	0	italy_balkan_caucasus	849
9718	0	italy_balkan_caucasus	850
9721	0	italy_balkan_caucasus	853
9725	0	italy_balkan_caucasus	856
9732	0	central_europe	863
9738	0	admixed	868
9755	0	italy_balkan_caucasus	878
9756	0	central_europe	879
9776	0	central_europe	894
9778	0	central_europe	896
9784	0	central_europe	902
9791	0	central_europe	909
9792	0	central_europe	910
9809	0	western_europe	927
9813	0	central_europe	931
9826	0	western_europe	943
9827	0	western_europe	944
9832	0	relict	948
9844	0	spain	959
9860	0	spain	975
9867	0	spain	980
9875	0	western_europe	987
9895	0	spain	1004
9897	0	admixed	1005
9898	0	spain	1006
9901	0	spain	1009
9903	0	spain	1011
9915	0	central_europe	1021
9921	0	western_europe	1025
9924	0	admixed	1026
9927	0	western_europe	1029
9938	0	western_europe	1037
9943	0	spain	1041
9956	0	asia	1053
9960	0	asia	1057
9962	0	italy_balkan_caucasus	1058
9975	0	central_europe	1070
9979	0	central_europe	1073
9987	0	italy_balkan_caucasus	1081
9993	0	admixed	1085
9998	0	admixed	1089
9999	0	central_europe	1090
10001	1	western_europe	1091
10004	1	italy_balkan_caucasus	1093
10009	1	asia	1097
10013	1	italy_balkan_caucasus	1101
108	1	western_europe	5
2016	1	admixed	81
4826	1	western_europe	102
5104	1	germany	110
5577	1	western_europe	123
5757	1	admixed	132
5772	1	admixed	134
5779	1	western_europe	136
6013	1	north_sweden	164
6023	1	south_sweden	171
6034	1	south_sweden	175
6076	1	south_sweden	191
6094	1	south_sweden	200
6097	1	south_sweden	203
6100	1	south_sweden	206
6107	1	south_sweden	212
6109	1	south_sweden	214
6111	1	south_sweden	215
6115	1	south_sweden	219
6126	1	south_sweden	226
6133	1	south_sweden	230
6148	1	south_sweden	239
6150	1	south_sweden	241
6177	1	north_sweden	251
6237	1	north_sweden	275
6240	1	north_sweden	277
6296	1	central_europe	288
6445	1	central_europe	294
6963	1	asia	342
6967	1	western_europe	344
6975	1	central_europe	351
6979	1	central_europe	353
6987	1	admixed	358
6989	1	western_europe	359
7025	1	central_europe	369
7028	1	admixed	371
7058	1	admixed	375
7061	1	admixed	376
7102	1	germany	389
7103	1	central_europe	390
7107	1	western_europe	392
7162	1	germany	409
7165	1	germany	412
7181	1	admixed	415
7223	1	central_europe	428
7244	1	germany	431
7258	1	germany	435
7280	1	germany	439
7306	1	western_europe	446
7343	1	south_sweden	460
7354	1	south_sweden	467
7372	1	central_europe	471
7373	1	admixed	472
7377	1	germany	473
7387	1	western_europe	478
7427	1	central_europe	490
763	1	asia	28
772	1	asia	32
7947	1	germany	513
801	1	germany	33
8236	1	central_europe	527
8239	1	germany	530
8241	1	south_sweden	532
8244	1	western_europe	535
8246	1	germany	536
8284	1	central_europe	544
8343	1	admixed	556
8366	1	admixed	561
8376	1	north_sweden	563
8386	1	central_europe	564
8387	1	germany	565
88	1	western_europe	4
9057	1	south_sweden	576
9085	1	italy_balkan_caucasus	586
9103	1	italy_balkan_caucasus	593
9105	1	italy_balkan_caucasus	595
9115	1	italy_balkan_caucasus	600
9128	1	asia	603
9130	1	asia	604
9133	1	asia	606
915	1	germany	39
9312	1	western_europe	609
9369	1	south_sweden	620
9383	1	admixed	626
9391	1	south_sweden	630
9407	1	south_sweden	638
9412	1	south_sweden	641
9436	1	south_sweden	647
9476	1	germany	658
9510	1	spain	665
9514	1	spain	669
9523	1	admixed	677
9526	1	spain	680
9528	1	spain	682
9530	1	admixed	684
9532	1	spain	686
9536	1	admixed	690
9543	1	relict	696
9547	1	spain	700
9556	1	spain	709
9565	1	admixed	717
9569	1	western_europe	720
9583	1	relict	730
9584	1	spain	731
9591	1	admixed	738
9598	1	relict	745
9632	1	asia	773
9638	1	asia	779
9643	1	asia	784
9645	1	central_europe	786
9646	1	italy_balkan_caucasus	787
9649	1	italy_balkan_caucasus	790
9660	1	italy_balkan_caucasus	798
9661	1	italy_balkan_caucasus	799
9666	1	central_europe	803
9672	1	central_europe	809
9676	1	central_europe	811
9677	1	central_europe	812
9678	1	central_europe	813
9679	1	central_europe	814
9682	1	central_europe	817
9691	1	admixed	825
9693	1	central_europe	827
9698	1	italy_balkan_caucasus	832
9699	1	italy_balkan_caucasus	833
9705	1	italy_balkan_caucasus	838
9744	1	admixed	872
9758	1	asia	881
9759	1	italy_balkan_caucasus	882
9764	1	admixed	885
9770	1	central_europe	889
9771	1	central_europe	890
9780	1	central_europe	898
9786	1	central_europe	904
9788	1	central_europe	906
9804	1	central_europe	922
9805	1	central_europe	923
9819	1	spain	936
9828	1	western_europe	945
9830	1	admixed	946
9835	1	admixed	951
9838	1	admixed	954
9845	1	spain	960
9852	1	spain	967
9853	1	western_europe	968
9864	1	spain	978
9866	1	spain	979
9868	1	spain	981
9876	1	spain	988
9886	1	spain	997
9888	1	spain	999
9900	1	spain	1008
9905	1	relict	1013
9914	1	central_europe	1020
9926	1	western_europe	1028
9928	1	western_europe	1030
9951	1	asia	1049
9957	1	asia	1054
9963	1	italy_balkan_caucasus	1059
9969	1	italy_balkan_caucasus	1064
997	1	south_sweden	43
9971	1	central_europe	1066
9974	1	central_europe	1069
9976	1	central_europe	1071
9990	1	italy_balkan_caucasus	1083
9997	1	central_europe	1088
10005	2	central_europe	1094
10008	2	asia	1096
1254	2	north_sweden	53
1317	2	admixed	56
1829	2	germany	71
2202	2	admixed	90
2278	2	germany	95
265	2	admixed	8
350	2	western_europe	9
424	2	central_europe	13
4807	2	western_europe	101
4884	2	western_europe	105
5023	2	western_europe	109
5165	2	admixed	112
5726	2	western_europe	129
5768	2	admixed	133
5811	2	admixed	140
5837	2	central_europe	146
5893	2	central_europe	153
5907	2	central_europe	154
5950	2	central_europe	156
5993	2	central_europe	158
6020	2	south_sweden	168
6035	2	south_sweden	176
6040	2	south_sweden	180
6041	2	south_sweden	181
6042	2	admixed	182
6105	2	south_sweden	210
6106	2	south_sweden	211
6112	2	south_sweden	216
6128	2	south_sweden	227
6132	2	south_sweden	229
6140	2	south_sweden	235
6142	2	south_sweden	237
6145	2	south_sweden	238
6173	2	north_sweden	249
6184	2	north_sweden	253
6189	2	south_sweden	255
6193	2	south_sweden	258
6201	2	south_sweden	262
6203	2	south_sweden	264
6238	2	north_sweden	276
