accession_id	fold	genetic_group	nearclone_block
10015	0	asia	1103
10022	0	admixed	1107
108	0	western_europe	5
1254	0	north_sweden	53
2016	0	admixed	81
2317	0	admixed	98
350	0	western_europe	9
430	0	central_europe	15
5253	0	western_europe	116
5486	0	germany	122
5768	0	admixed	133
5779	0	western_europe	136
5874	0	central_europe	151
5921	0	central_europe	155
5993	0	central_europe	158
6021	0	south_sweden	169
6024	0	south_sweden	172
6039	0	admixed	179
6040	0	south_sweden	180
6073	0	south_sweden	189
6076	0	south_sweden	191
6094	0	south_sweden	200
6105	0	south_sweden	210
6111	0	south_sweden	215
6122	0	south_sweden	222
6133	0	south_sweden	230
6140	0	south_sweden	235
6145	0	south_sweden	238
6148	0	south_sweden	239
6149	0	south_sweden	240
6180	0	germany	252
6188	0	south_sweden	254
6194	0	south_sweden	259
6195	0	south_sweden	260
6237	0	north_sweden	275
6244	0	north_sweden	281
6296	0	central_europe	288
6396	0	central_europe	290
6413	0	south_sweden	291
6744	0	germany	298
6901	0	north_sweden	308
6970	0	spain	347
6981	0	admixed	354
7000	0	germany	363
7014	0	germany	368
7077	0	italy_balkan_caucasus	384
7096	0	admixed	388
7107	0	western_europe	392
7130	0	western_europe	401
7138	0	admixed	403
7143	0	germany	404
7163	0	admixed	410
7177	0	central_europe	414
7192	0	germany	418
7202	0	germany	420
7218	0	admixed	427
7223	0	central_europe	428
7280	0	germany	439
7307	0	western_europe	447
7344	0	admixed	461
7415	0	germany	484
7427	0	central_europe	490
7717	0	germany	509
772	0	asia	32
7917	0	germany	512
8077	0	germany	516
8244	0	western_europe	535
8256	0	admixed	539
8259	0	south_sweden	541
8284	0	central_europe	544
8386	0	central_europe	564
8419	0	central_europe	566
8420	0	germany	567
8426	0	south_sweden	570
88	0	western_europe	4
9070	0	italy_balkan_caucasus	580
9081	0	italy_balkan_caucasus	584
9085	0	italy_balkan_caucasus	586
9091	0	italy_balkan_caucasus	588
9102	0	italy_balkan_caucasus	592
9104	0	italy_balkan_caucasus	594
9106	0	italy_balkan_caucasus	596
9125	0	asia	602
9133	0	asia	606
932	0	western_europe	40
9380	0	south_sweden	623
9383	0	admixed	626
9386	0	north_sweden	627
9413	0	south_sweden	642
9509	0	spain	664
9517	0	western_europe	671
9522	0	spain	676
9525	0	spain	679
9534	0	spain	688
9554	0	relict	707
9555	0	relict	708
9560	0	spain	713
9569	0	western_europe	720
9571	0	western_europe	721
9587	0	spain	734
9598	0	relict	745
9601	0	spain	748
9609	0	asia	753
9611	0	asia	755
9622	0	admixed	764
9625	0	asia	766
9629	0	asia	770
9633	0	asia	774
9651	0	italy_balkan_caucasus	791
9668	0	central_europe	805
9670	0	central_europe	807
9681	0	central_europe	816
9686	0	central_europe	821
9687	0	central_europe	822
9690	0	central_europe	824
9695	0	central_europe	829
9697	0	italy_balkan_caucasus	831
9700	0	italy_balkan_caucasus	834
9710	0	italy_balkan_caucasus	843
9718	0	italy_balkan_caucasus	850
9719	0	italy_balkan_caucasus	851
9725	0	italy_balkan_caucasus	856
9730	0	central_europe	861
9735	0	central_europe	865
9736	0	admixed	866
9743	0	admixed	871
9757	0	italy_balkan_caucasus	880
9759	0	italy_balkan_caucasus	882
9762	0	admixed	884
9764	0	admixed	885
9766	0	asia	886
9770	0	central_europe	889
9775	0	central_europe	893
9782	0	central_europe	900
9783	0	admixed	901
9788	0	central_europe	906
9793	0	central_europe	911
9794	0	central_europe	912
9800	0	central_europe	918
9803	0	central_europe	921
9807	0	central_europe	925
9809	0	western_europe	927
9814	0	central_europe	932
