accession_id	fold	genetic_group	nearclone_block
10009	0	asia	1097
10010	0	asia	1098
10015	0	asia	1103
10017	0	central_europe	1104
10020	0	central_europe	1106
10022	0	admixed	1107
1925	0	germany	79
2278	0	germany	95
2317	0	admixed	98
265	0	admixed	8
5104	0	germany	110
5253	0	western_europe	116
5353	0	western_europe	120
5577	0	western_europe	123
5720	0	admixed	128
5768	0	admixed	133
5865	0	south_sweden	149
6011	0	north_sweden	162
6038	0	south_sweden	178
6041	0	south_sweden	181
6042	0	admixed	182
6098	0	south_sweden	204
6105	0	south_sweden	210
6107	0	south_sweden	212
6114	0	south_sweden	218
6118	0	south_sweden	220
6124	0	south_sweden	224
6125	0	south_sweden	225
6136	0	south_sweden	232
6177	0	north_sweden	251
6184	0	north_sweden	253
6221	0	north_sweden	272
6242	0	south_sweden	279
6243	0	central_europe	280
6396	0	central_europe	290
6413	0	south_sweden	291
6901	0	north_sweden	308
6909	0	germany	313
7003	0	admixed	365
7008	0	germany	366
7014	0	germany	368
7068	0	italy_balkan_caucasus	381
7071	0	western_europe	382
7072	0	admixed	383
7094	0	germany	387
7106	0	central_europe	391
7119	0	germany	396
7126	0	admixed	399
7130	0	western_europe	401
7133	0	germany	402
7169	0	admixed	413
7186	0	central_europe	417
7208	0	germany	423
7213	0	admixed	425
7276	0	germany	438
7282	0	germany	440
7288	0	admixed	442
7305	0	admixed	445
7320	0	western_europe	451
7342	0	admixed	459
7346	0	south_sweden	462
7349	0	central_europe	464
7353	0	admixed	466
7373	0	admixed	472
7396	0	central_europe	480
7415	0	germany	484
7427	0	central_europe	490
7471	0	admixed	494
7917	0	germany	512
7947	0	germany	513
8234	0	south_sweden	525
8244	0	western_europe	535
8256	0	admixed	539
8283	0	south_sweden	543
8369	0	south_sweden	562
8419	0	central_europe	566
88	0	western_europe	4
9078	0	italy_balkan_caucasus	582
9111	0	italy_balkan_caucasus	597
9113	0	italy_balkan_caucasus	598
9298	0	western_europe	608
9383	0	admixed	626
9399	0	south_sweden	634
9405	0	south_sweden	637
9413	0	south_sweden	642
9455	0	south_sweden	655
9509	0	spain	664
9511	0	spain	666
9514	0	spain	669
9526	0	spain	680
9527	0	admixed	681
9541	0	spain	694
9542	0	relict	695
9549	0	relict	702
9567	0	spain	718
9594	0	spain	741
9597	0	spain	744
9598	0	relict	745
9599	0	western_europe	746
9613	0	italy_balkan_caucasus	757
9615	0	asia	758
9634	0	asia	775
9635	0	asia	776
9641	0	asia	782
9642	0	asia	783
9649	0	italy_balkan_caucasus	790
9651	0	italy_balkan_caucasus	791
9655	0	italy_balkan_caucasus	793
9660	0	italy_balkan_caucasus	798
9663	0	admixed	800
9667	0	central_europe	804
9668	0	central_europe	805
9673	0	central_europe	810
9679	0	central_europe	814
9682	0	central_europe	817
9683	0	central_europe	818
9698	0	italy_balkan_caucasus	832
9707	0	italy_balkan_caucasus	840
9719	0	italy_balkan_caucasus	851
9720	0	italy_balkan_caucasus	852
9735	0	central_europe	865
9737	0	asia	867
9759	0	italy_balkan_caucasus	882
9762	0	admixed	884
9764	0	admixed	885
9774	0	central_europe	892
9782	0	central_europe	900
9786	0	central_europe	904
9796	0	central_europe	914
9805	0	central_europe	923
9806	0	central_europe	924
9807	0	central_europe	925
9808	0	central_europe	926
9810	0	central_europe	928
9813	0	central_europe	931
9816	0	central_europe	934
9826	0	western_europe	943
9832	0	relict	948
9833	0	spain	949
9843	0	spain	958
9845	0	spain	960
9857	0	spain	972
9859	0	spain	974
9862	0	western_europe	977
9873	0	spain	985
9882	0	spain	994
9883	0	spain	995
9898	0	spain	1006
9908	0	western_europe	1015
9910	0	western_europe	1017
9914	0	central_europe	1020
9918	0	western_europe	1023
992	0	south_sweden	42
9926	0	western_europe	1028
9928	0	western_europe	1030
9930	0	central_europe	1032
9942	0	spain	1040
9943	0	spain	1041
9949	0	western_europe	1047
9951	0	asia	1049
9953	0	asia	1051
9956	0	asia	1053
9958	0	asia	1055
9966	0	italy_balkan_caucasus	1062
997	0	south_sweden	43
9978	0	central_europe	1072
9979	0	central_europe	1073
9981	0	italy_balkan_caucasus	1075
9987	0	italy_balkan_caucasus	1081
9999	0	central_europe	1090
10004	1	italy_balkan_caucasus	1093
10011	1	asia	1099
10013	1	italy_balkan_caucasus	1101
10023	1	admixed	1108
1254	1	north_sweden	53
1317	1	admixed	56
159	1	western_europe	7
1829	1	germany	71
1954	1	germany	80
2016	1	admixed	81
351	1	western_europe	10
430	1	central_europe	15
4779	1	western_europe	100
5210	1	western_europe	113
5276	1	western_europe	117
5726	1	western_europe	129
5757	1	admixed	132
5837	1	central_europe	146
5890	1	central_europe	152
5907	1	central_europe	154
5950	1	central_europe	156
5984	1	central_europe	157
5993	1	central_europe	158
6013	1	north_sweden	164
6020	1	south_sweden	168
6021	1	south_sweden	169
6034	1	south_sweden	175
6035	1	south_sweden	176
6073	1	south_sweden	189
6092	1	south_sweden	199
6104	1	south_sweden	209
6108	1	western_europe	213
6115	1	south_sweden	219
6126	1	south_sweden	226
6137	1	south_sweden	233
6138	1	south_sweden	234
6149	1	south_sweden	240
6188	1	south_sweden	254
6193	1	south_sweden	258
6390	1	central_europe	289
6680	1	western_europe	295
