accession_id	nearclone_block
10001	1091
10002	1092
10004	1093
10005	1094
10006	1095
10008	1096
10009	1097
10010	1098
10011	1099
10012	1100
10013	1101
10014	1102
10015	1103
10017	1104
10018	1105
1002	44
10020	1106
10022	1107
10023	1108
10027	1109
1006	45
1061	46
1062	47
1063	48
1066	49
1070	50
108	5
1158	51
1166	52
1254	53
1257	54
1313	55
1317	56
139	6
14312	1110
14313	1111
14314	1112
14315	1113
14318	1114
14319	1115
1552	57
15560	1116
15591	1117
15592	1118
15593	1119
159	7
1612	58
1622	59
1651	60
1652	61
1676	62
1684	63
1739	2
1741	64
1756	65
1757	66
1793	67
1797	68
1819	69
1820	70
1829	71
1834	72
1835	73
1851	74
1852	75
1853	76
18694	1120
18696	1121
1872	77
1890	78
1925	79
1942	3
1943	3
1954	80
19949	1122
19950	1123
19951	1124
2016	81
2017	82
2031	83
2053	84
2057	85
2081	86
2091	1
2106	0
2108	87
2141	0
2159	0
2166	0
2171	88
2191	89
2202	90
2212	91
2239	92
2240	93
2276	94
2278	95
2285	96
2286	97
2317	98
2370	2
2412	99
265	8
350	9
351	10
403	11
410	12
424	13
428	14
430	15
470	0
476	0
4779	100
4807	101
4826	102
484	1
4840	103
4857	104
4884	105
4900	106
4939	107
4958	108
5023	109
504	16
506	17
5104	110
5151	111
5165	112
5210	113
5236	114
5249	115
5253	116
5276	117
5279	118
531	18
5349	119
5353	120
5395	121
544	19
546	20
5486	122
5577	123
5644	124
5651	125
5717	126
5718	127
5720	128
5726	129
5741	130
5748	131
5757	132
5768	133
5772	134
5776	135
5779	136
5784	137
5798	138
5800	139
5811	140
5822	141
5830	142
5831	143
5832	144
5836	145
5837	146
5856	147
5860	148
5865	149
5867	150
5874	151
5890	152
5893	153
5907	154
5921	155
5950	156
5984	157
5993	158
6008	159
6009	160
6010	161
6011	162
6012	163
6013	164
6016	165
6017	166
6019	167
6020	168
6021	169
6022	170
6023	171
6024	172
6025	173
6030	174
6034	175
6035	176
6036	177
6038	178
6039	179
6040	180
6041	181
6042	182
6043	183
6046	184
6064	185
6069	186
6070	187
6071	188
6073	189
6074	190
6076	191
6077	192
6085	193
6086	194
6087	195
6088	196
6090	197
6091	198
6092	199
6094	200
6095	201
6096	202
6097	203
6098	204
6099	205
6100	206
6101	207
6102	208
6104	209
6105	210
6106	211
6107	212
6108	213
6109	214
6111	215
