trait_id	trait_name	accession_id	held_out_group	logo_fold	is_test
703	DTF1	88	admixed	admixed	False
703	DTF1	108	admixed	admixed	False
703	DTF1	159	admixed	admixed	False
703	DTF1	350	admixed	admixed	False
703	DTF1	351	admixed	admixed	False
703	DTF1	403	admixed	admixed	False
703	DTF1	410	admixed	admixed	False
703	DTF1	424	admixed	admixed	False
703	DTF1	428	admixed	admixed	False
703	DTF1	430	admixed	admixed	False
703	DTF1	630	admixed	admixed	False
703	DTF1	763	admixed	admixed	False
703	DTF1	765	admixed	admixed	False
703	DTF1	766	admixed	admixed	False
703	DTF1	768	admixed	admixed	False
703	DTF1	772	admixed	admixed	False
703	DTF1	801	admixed	admixed	False
703	DTF1	915	admixed	admixed	False
703	DTF1	991	admixed	admixed	False
703	DTF1	992	admixed	admixed	False
703	DTF1	1002	admixed	admixed	False
703	DTF1	1061	admixed	admixed	False
703	DTF1	1254	admixed	admixed	False
703	DTF1	1552	admixed	admixed	False
703	DTF1	1829	admixed	admixed	False
703	DTF1	1853	admixed	admixed	False
703	DTF1	1890	admixed	admixed	False
703	DTF1	1925	admixed	admixed	False
703	DTF1	1954	admixed	admixed	False
703	DTF1	2016	admixed	admixed	True
703	DTF1	2171	admixed	admixed	False
703	DTF1	2202	admixed	admixed	True
703	DTF1	2276	admixed	admixed	True
703	DTF1	2278	admixed	admixed	False
703	DTF1	4779	admixed	admixed	False
703	DTF1	4807	admixed	admixed	False
703	DTF1	4826	admixed	admixed	False
703	DTF1	4884	admixed	admixed	False
703	DTF1	4900	admixed	admixed	False
703	DTF1	4958	admixed	admixed	False
703	DTF1	5023	admixed	admixed	False
703	DTF1	5104	admixed	admixed	False
703	DTF1	5165	admixed	admixed	True
703	DTF1	5210	admixed	admixed	False
703	DTF1	5236	admixed	admixed	False
703	DTF1	5253	admixed	admixed	False
703	DTF1	5276	admixed	admixed	False
703	DTF1	5349	admixed	admixed	False
703	DTF1	5353	admixed	admixed	False
703	DTF1	5486	admixed	admixed	False
703	DTF1	5644	admixed	admixed	False
703	DTF1	5720	admixed	admixed	True
703	DTF1	5726	admixed	admixed	False
703	DTF1	5741	admixed	admixed	False
703	DTF1	5748	admixed	admixed	False
703	DTF1	5757	admixed	admixed	True
703	DTF1	5772	admixed	admixed	True
703	DTF1	5779	admixed	admixed	False
703	DTF1	5784	admixed	admixed	True
703	DTF1	5800	admixed	admixed	False
703	DTF1	5811	admixed	admixed	True
703	DTF1	5822	admixed	admixed	True
703	DTF1	5831	admixed	admixed	False
703	DTF1	5832	admixed	admixed	False
