accession_id	nearclone_block
470	0
476	0
484	0
504	0
742	0
1739	0
1942	0
1943	0
2091	0
2141	0
2159	0
2370	0
8723	0
2106	1
2166	1
88	2
108	3
139	4
159	5
265	6
350	7
351	8
403	9
410	10
424	11
428	12
430	13
506	14
531	15
544	16
546	17
628	18
630	19
680	20
681	21
685	22
687	23
728	24
763	25
765	26
766	27
768	28
772	29
801	30
853	31
854	32
867	33
868	34
870	35
915	36
932	37
991	38
992	39
997	40
1002	41
1006	42
1061	43
1062	44
1063	45
1066	46
1070	47
1158	48
1166	49
1254	50
1257	51
1313	52
1317	53
1552	54
1612	55
1622	56
1651	57
1652	58
1676	59
1684	60
1741	61
1756	62
1757	63
1793	64
1797	65
1819	66
1820	67
1829	68
1834	69
1835	70
1851	71
1852	72
1853	73
1872	74
1890	75
1925	76
1954	77
2016	78
2017	79
2031	80
2053	81
2057	82
2081	83
2108	84
2171	85
2191	86
2202	87
2212	88
2239	89
2240	90
2276	91
2278	92
2285	93
2286	94
2317	95
2412	96
4779	97
4807	98
4826	99
4840	100
4857	101
4884	102
4900	103
4939	104
4958	105
5023	106
5104	107
5151	108
5165	109
5210	110
5236	111
5249	112
5253	113
5276	114
5279	115
5349	116
5353	117
5395	118
5486	119
5577	120
5644	121
5651	122
5717	123
5718	124
5720	125
5726	126
5741	127
5748	128
5757	129
5768	130
5772	131
5776	132
5779	133
5784	134
5798	135
5800	136
5811	137
5822	138
5830	139
5831	140
5832	141
5836	142
5837	143
5856	144
5860	145
5865	146
5867	147
5874	148
5890	149
5893	150
5907	151
5921	152
5950	153
5984	154
5993	155
6008	156
6009	157
6010	158
6011	159
6012	160
6013	161
6016	162
6017	163
6019	164
6020	165
6021	166
6022	167
6023	168
6024	169
6025	170
6030	171
6034	172
6035	173
6036	174
6038	175
6039	176
6040	177
6041	178
6042	179
6043	180
6046	181
6064	182
6069	183
6070	184
6071	185
6073	186
6074	187
6076	188
6077	189
6085	190
6086	191
6087	192
6088	193
6090	194
6091	195
6092	196
6094	197
6095	198
6096	199
6097	200
6098	201
6099	202
6100	203
6101	204
6102	205
6104	206
6105	207
6106	208
6107	209
6108	210
6109	211
6111	212
6112	213
6113	214
6114	215
6115	216
6118	217
6119	218
6122	219
6123	220
6124	221
6125	222
6126	223
6128	224
6131	225
6132	226
6133	227
6134	228
6136	229
6137	230
6138	231
6140	232
6141	233
6142	234
6145	235
6148	236
6149	237
6150	238
6151	239
6153	240
6154	241
6163	242
6166	243
6169	244
6172	245
6173	246
6174	247
6177	248
6180	249
6184	250
6188	251
6189	252
6191	253
6192	254
6193	255
6194	256
6195	257
6198	258
6201	259
6202	260
6203	261
6209	262
6210	263
6214	264
6216	265
6217	266
6218	267
6220	268
6221	269
6231	270
6235	271
6237	272
6238	273
6240	274
6241	275
6242	276
6243	277
6244	278
6252	279
6255	280
6258	281
6268	282
6276	283
6284	284
6296	285
6390	286
6396	287
6413	288
6424	289
6434	290
6445	291
6680	292
6739	293
6740	294
6744	295
6749	296
6750	297
6805	298
6806	299
6814	300
6830	301
6897	302
6898	303
6900	304
6901	305
6903	306
6904	307
6907	308
6908	309
6909	310
6911	311
6913	312
6915	313
6917	314
6918	315
6919	316
6920	317
6922	318
6923	319
6924	320
6926	321
6927	322
6929	323
6931	324
6932	325
6933	326
6938	327
6940	328
6943	329
6944	330
6945	331
6951	332
6956	333
6957	334
6958	335
6959	336
6960	337
6961	338
6963	339
6966	340
6967	341
6968	342
6969	343
6970	344
6971	345
6973	346
6974	347
6975	348
6976	349
6979	350
6981	351
6982	352
6984	353
6986	354
6987	355
6989	356
6990	357
6992	358
6997	359
7000	360
7002	361
7003	362
7008	363
7013	364
7014	365
7025	366
7026	367
7028	368
7031	369
7033	370
7036	371
7058	372
7061	373
7062	374
7063	375
7064	376
7067	377
7068	378
7071	379
7072	380
7077	381
7081	382
7092	383
7094	384
7096	385
7102	386
7103	387
7106	388
7107	389
7109	390
7111	391
7117	392
7119	393
7120	394
7125	395
7126	396
7127	397
7130	398
7133	399
7138	400
7143	401
7147	402
7158	403
7160	404
7161	405
7162	406
7163	407
7164	408
7165	409
7169	410
7177	411
7181	412
7183	413
7186	414
7192	415
7199	416
7202	417
7203	418
7207	419
7208	420
7209	421
7213	422
7217	423
7218	424
7223	425
7231	426
7236	427
7244	428
7248	429
7250	430
7255	431
7258	432
7268	433
7273	434
7276	435
7280	436
7282	437
7287	438
7288	439
7296	440
7298	441
7305	442
7306	443
7307	444
7314	445
7316	446
7319	447
7320	448
7322	449
7323	450
7327	451
7328	452
7332	453
7333	454
7337	455
7342	456
7343	457
7344	458
7346	459
7347	460
7349	461
7350	462
7353	463
7354	464
7356	465
7358	466
7359	467
7372	468
7373	469
7377	470
7378	471
7382	472
7383	473
7384	474
7387	475
7394	476
7396	477
7404	478
7411	479
7413	480
7415	481
7416	482
7417	483
7418	484
7419	485
7424	486
7427	487
7430	488
7460	489
7461	490
7471	491
7475	492
7477	493
7514	494
7515	495
7516	496
7517	497
7520	498
7521	499
7523	500
7525	501
7529	502
7530	503
7566	504
7568	505
7717	506
7757	507
7767	508
7917	509
7947	510
8037	511
8057	512
8077	513
8132	514
8171	515
8214	516
8222	517
8227	518
8230	519
8231	520
8233	521
8234	522
8235	523
8236	524
8237	525
8238	526
8239	527
8240	528
8241	529
8242	530
8243	531
8244	532
8246	533
8247	534
8249	535
8256	536
8258	537
8259	538
8264	539
8283	540
8284	541
8285	542
8290	543
8297	544
8306	545
8307	546
8311	547
8312	548
8326	549
8334	550
8335	551
8337	552
8343	553
8351	554
8354	555
8357	556
8365	557
8366	558
8369	559
8376	560
8386	561
8387	562
8419	563
8420	564
8422	565
8424	566
8426	567
8427	568
8464	569
8483	570
8699	571
9027	572
9057	573
9058	574
9067	575
9069	576
9070	577
9075	578
9078	579
9079	580
9081	581
9084	582
9085	583
9089	584
9091	585
9095	586
9099	587
9100	588
9102	589
9103	590
9104	591
9105	592
9106	593
9111	594
9113	595
9114	596
9115	597
9121	598
9125	599
9128	600
9130	601
9131	602
9133	603
9134	604
9298	605
9312	606
9314	607
9321	608
9323	609
9332	610
9336	611
9339	612
9343	613
9352	614
9353	615
9363	616
9369	617
9370	618
9371	619
9380	620
9381	621
9382	622
9383	623
9386	624
9388	625
9390	626
9391	627
9392	628
9394	629
9395	630
9399	631
9402	632
9404	633
9405	634
9407	635
9408	636
9409	637
9412	638
9413	639
9416	640
9421	641
9427	642
9433	643
9436	644
9437	645
9442	646
9450	647
9451	648
9452	649
9453	650
9454	651
9455	652
9470	653
9471	654
9476	655
9481	656
9503	657
9506	658
9507	659
9508	660
9509	661
9510	662
9511	663
9512	664
9513	665
9514	666
9515	667
9517	668
9518	669
9519	670
9520	671
9521	672
9522	673
9523	674
9524	675
9525	676
9526	677
9527	678
9528	679
9529	680
9530	681
9531	682
9532	683
9533	684
9534	685
9535	686
9536	687
9537	688
9539	689
9540	690
9541	691
9542	692
9543	693
9544	694
9545	695
9546	696
9547	697
9548	698
9549	699
9550	700
9551	701
9552	702
9553	703
9554	704
9555	705
9556	706
9557	707
9558	708
9559	709
9560	710
9561	711
9562	712
9564	713
9565	714
9567	715
9568	716
9569	717
9571	718
9573	719
9574	720
9576	721
9577	722
9578	723
9579	724
9581	725
9582	726
9583	727
9584	728
9585	729
9586	730
9587	731
9588	732
9589	733
9590	734
9591	735
9592	736
9593	737
9594	738
9595	739
9596	740
9597	741
9598	742
9599	743
9600	744
9601	745
9602	746
9606	747
9607	748
9608	749
9609	750
9610	751
9611	752
9612	753
9613	754
9615	755
9616	756
9617	757
9619	758
9620	759
9621	760
9622	761
9624	762
9625	763
9626	764
9627	765
9628	766
9629	767
9630	768
9631	769
9632	770
9633	771
9634	772
9635	773
9636	774
9637	775
9638	776
9639	777
9640	778
9641	779
9642	780
9643	781
9644	782
9645	783
9646	784
9647	785
9648	786
9649	787
9651	788
9653	789
9655	790
9656	791
9657	792
9658	793
9659	794
9660	795
9661	796
9663	797
9664	798
9665	799
9666	800
9667	801
9668	802
9669	803
9670	804
9671	805
9672	806
9673	807
9676	808
9677	809
9678	810
9679	811
9680	812
9681	813
9682	814
9683	815
9684	816
9685	817
9686	818
9687	819
9689	820
9690	821
9691	822
9692	823
9693	824
9694	825
9695	826
9696	827
9697	828
9698	829
9699	830
9700	831
9701	832
9703	833
9704	834
9705	835
9706	836
9707	837
9708	838
9709	839
9710	840
9711	841
9712	842
9713	843
9714	844
9716	845
9717	846
9718	847
9719	848
9720	849
9721	850
9722	851
9723	852
9725	853
9726	854
9727	855
9728	856
9729	857
9730	858
9731	859
9732	860
9733	861
9735	862
9736	863
9737	864
9738	865
9739	866
9741	867
9743	868
9744	869
9745	870
9747	871
9748	872
9749	873
9754	874
9755	875
9756	876
9757	877
9758	878
9759	879
9761	880
9762	881
9764	882
9766	883
9768	884
9769	885
9770	886
9771	887
9772	888
9774	889
9775	890
9776	891
9777	892
9778	893
9779	894
9780	895
9781	896
9782	897
9783	898
9784	899
9785	900
9786	901
9787	902
9788	903
9789	904
9790	905
9791	906
9792	907
9793	908
9794	909
9795	910
9796	911
9797	912
9798	913
9799	914
9800	915
9801	916
9802	917
9803	918
9804	919
9805	920
9806	921
9807	922
9808	923
9809	924
9810	925
9811	926
9812	927
9813	928
