accession_id	fold	genetic_group	nearclone_block
1254	0	north_sweden	53
5830	0	south_sweden	142
5867	0	south_sweden	150
5907	0	central_europe	154
6024	0	south_sweden	172
6034	0	south_sweden	175
6039	0	admixed	179
6069	0	north_sweden	186
6073	0	south_sweden	189
6092	0	south_sweden	199
6099	0	south_sweden	205
6104	0	south_sweden	209
6109	0	south_sweden	214
6111	0	south_sweden	215
6115	0	south_sweden	219
6118	0	south_sweden	220
6125	0	south_sweden	225
6128	0	south_sweden	227
6138	0	south_sweden	234
6195	0	south_sweden	260
6209	0	north_sweden	265
6217	0	north_sweden	269
6296	0	central_europe	288
6944	0	western_europe	333
6945	0	germany	334
6957	0	central_europe	337
6987	0	admixed	358
6989	0	western_europe	359
7002	0	germany	364
7276	0	germany	438
7327	0	spain	454
7343	0	south_sweden	460
7382	0	admixed	475
8214	0	western_europe	519
8227	0	north_sweden	521
8264	0	spain	542
8307	0	south_sweden	549
8326	0	south_sweden	552
9371	0	north_sweden	622
9405	0	south_sweden	637
9421	0	south_sweden	644
9453	0	south_sweden	653
9481	0	south_sweden	659
9506	0	admixed	661
9517	0	western_europe	671
9521	0	spain	675
9525	0	spain	679
9526	0	spain	680
9540	0	spain	693
9557	0	spain	710
9564	0	spain	716
9596	0	admixed	743
9784	0	central_europe	902
9821	0	spain	938
9833	0	spain	949
9835	0	admixed	951
9840	0	spain	956
9844	0	spain	959
9852	0	spain	967
9856	0	spain	971
9857	0	spain	972
9858	0	admixed	973
9868	0	spain	981
9882	0	spain	994
9891	0	spain	1001
997	0	south_sweden	43
10005	1	central_europe	1094
10017	1	central_europe	1104
1062	1	south_sweden	47
5353	1	western_europe	120
5832	1	south_sweden	144
6071	1	north_sweden	188
6085	1	south_sweden	193
6090	1	south_sweden	197
6100	1	south_sweden	206
6105	1	south_sweden	210
6106	1	south_sweden	211
6107	1	south_sweden	212
6108	1	western_europe	213
6122	1	south_sweden	222
6132	1	south_sweden	229
6134	1	south_sweden	231
6151	1	south_sweden	242
6169	1	north_sweden	247
6173	1	north_sweden	249
6184	1	north_sweden	253
6193	1	south_sweden	258
6202	1	south_sweden	263
6258	1	admixed	284
6424	1	central_europe	292
6445	1	central_europe	294
6918	1	north_sweden	318
6924	1	western_europe	323
6933	1	spain	329
6997	1	germany	362
7244	1	germany	431
7255	1	germany	434
7346	1	south_sweden	462
7354	1	south_sweden	467
8247	1	south_sweden	537
8256	1	admixed	539
8259	1	south_sweden	541
8283	1	south_sweden	543
8426	1	south_sweden	570
9057	1	south_sweden	576
9339	1	south_sweden	615
9404	1	south_sweden	636
9409	1	south_sweden	640
9519	1	spain	673
9524	1	spain	678
9539	1	spain	692
9546	1	spain	699
9561	1	admixed	714
9581	1	admixed	728
9584	1	spain	731
9586	1	spain	733
9594	1	spain	741
9795	1	central_europe	913
9820	1	spain	937
9822	1	spain	939
9826	1	western_europe	943
9836	1	spain	952
9838	1	admixed	954
9859	1	spain	974
9864	1	spain	978
9866	1	spain	979
9874	1	spain	986
9881	1	admixed	993
9888	1	spain	999
9895	1	spain	1004
9903	1	spain	1011
9906	1	admixed	1014
139	2	western_europe	6
5865	2	south_sweden	149
6011	2	north_sweden	162
6012	2	north_sweden	163
6013	2	north_sweden	164
6023	2	south_sweden	171
6035	2	south_sweden	176
6036	2	south_sweden	177
6088	2	south_sweden	196
6098	2	south_sweden	204
6114	2	south_sweden	218
6124	2	south_sweden	224
6126	2	south_sweden	226
6133	2	south_sweden	230
6145	2	south_sweden	238
6148	2	south_sweden	239
6149	2	south_sweden	240
6154	2	north_sweden	244
6177	2	north_sweden	251
6192	2	south_sweden	257
6194	2	south_sweden	259
6242	2	south_sweden	279
6268	2	germany	285
6413	2	south_sweden	291
6903	2	central_europe	309
6982	2	germany	355
7003	2	admixed	365
7013	2	south_sweden	367
7133	2	germany	402
7158	2	central_europe	406
7169	2	admixed	413
7177	2	central_europe	414
7328	2	spain	455
8249	2	south_sweden	538
8335	2	south_sweden	554
9321	2	north_sweden	611
9395	2	south_sweden	633
9436	2	south_sweden	647
9442	2	germany	649
9527	2	admixed	681
9532	2	spain	686
9547	2	spain	700
9562	2	spain	715
9565	2	admixed	717
9569	2	western_europe	720
9577	2	spain	725
9582	2	spain	729
9588	2	spain	735
9597	2	spain	744
9778	2	central_europe	896
9834	2	spain	950
9855	2	spain	970
9867	2	spain	980
9877	2	admixed	989
9878	2	spain	990
9885	2	spain	996
9890	2	admixed	1000
9892	2	admixed	1002
9899	2	spain	1007
9901	2	spain	1009
9904	2	spain	1012
991	2	south_sweden	41
992	2	south_sweden	42
9938	2	western_europe	1037
9948	2	spain	1046
9950	2	spain	1048
1066	3	south_sweden	49
430	3	central_europe	15
6009	3	north_sweden	160
6019	3	south_sweden	167
6021	3	south_sweden	169
6040	3	south_sweden	180
6043	3	north_sweden	183
6076	3	south_sweden	191
6094	3	south_sweden	200
6113	3	south_sweden	217
6137	3	south_sweden	233
6140	3	south_sweden	235
6150	3	south_sweden	241
6188	3	south_sweden	254
6191	3	south_sweden	256
6210	3	north_sweden	266
6235	3	north_sweden	274
6276	3	germany	286
6284	3	south_sweden	287
6915	3	germany	316
6961	3	spain	341
7268	3	admixed	436
8222	3	south_sweden	520
8231	3	south_sweden	523
8237	3	south_sweden	528
8369	3	south_sweden	562
8376	3	north_sweden	563
8386	3	central_europe	564
8422	3	south_sweden	568
9380	3	south_sweden	623
9388	3	north_sweden	628
9407	3	south_sweden	638
9408	3	south_sweden	639
9454	3	south_sweden	654
9470	3	south_sweden	656
9476	3	germany	658
9520	3	spain	674
9531	3	spain	685
9534	3	spain	688
9535	3	spain	689
9548	3	admixed	701
9552	3	admixed	705
9553	3	spain	706
9556	3	spain	709
9568	3	spain	719
9585	3	western_europe	732
9601	3	spain	748
9804	3	central_europe	922
9806	3	central_europe	924
9807	3	central_europe	925
9824	3	admixed	941
9825	3	spain	942
9839	3	admixed	955
9841	3	spain	957
9843	3	spain	958
9845	3	spain	960
9846	3	spain	961
9849	3	admixed	964
9851	3	western_europe	966
9860	3	spain	975
9870	3	spain	983
9897	3	admixed	1005
9898	3	spain	1006
9942	3	spain	1040
9949	3	western_europe	1047
