accession_id	fold	genetic_group	nearclone_block
1254	0	north_sweden	53
139	0	western_europe	6
430	0	central_europe	15
5830	0	south_sweden	142
5867	0	south_sweden	150
6011	0	north_sweden	162
6016	0	north_sweden	165
6038	0	south_sweden	178
6069	0	north_sweden	186
6094	0	south_sweden	200
6099	0	south_sweden	205
6105	0	south_sweden	210
6112	0	south_sweden	216
6128	0	south_sweden	227
6131	0	south_sweden	228
6137	0	south_sweden	233
6140	0	south_sweden	235
6142	0	south_sweden	237
6145	0	south_sweden	238
6193	0	south_sweden	258
6202	0	south_sweden	263
6209	0	north_sweden	265
6217	0	north_sweden	269
6252	0	germany	282
6424	0	central_europe	292
6445	0	central_europe	294
6924	0	western_europe	323
6971	0	spain	348
7062	0	germany	377
8237	0	south_sweden	528
8240	0	south_sweden	531
8259	0	south_sweden	541
8264	0	spain	542
9339	0	south_sweden	615
9399	0	south_sweden	634
9404	0	south_sweden	636
9409	0	south_sweden	640
9454	0	south_sweden	654
9476	0	germany	658
9481	0	south_sweden	659
9517	0	western_europe	671
9521	0	spain	675
9525	0	spain	679
9531	0	spain	685
9551	0	admixed	704
9562	0	spain	715
9565	0	admixed	717
9581	0	admixed	728
9587	0	spain	734
9589	0	spain	736
9596	0	admixed	743
9756	0	central_europe	879
9819	0	spain	936
9839	0	admixed	955
9840	0	spain	956
9844	0	spain	959
9853	0	western_europe	968
9857	0	spain	972
9858	0	admixed	973
9861	0	spain	976
9864	0	spain	978
9868	0	spain	981
9876	0	spain	988
9877	0	admixed	989
9886	0	spain	997
9902	0	spain	1010
10017	1	central_europe	1104
1062	1	south_sweden	47
1063	1	south_sweden	48
6020	1	south_sweden	168
6041	1	south_sweden	181
6071	1	north_sweden	188
6073	1	south_sweden	189
6088	1	south_sweden	196
6100	1	south_sweden	206
6104	1	south_sweden	209
6106	1	south_sweden	211
6114	1	south_sweden	218
6132	1	south_sweden	229
6134	1	south_sweden	231
6136	1	south_sweden	232
6173	1	north_sweden	249
6184	1	north_sweden	253
6194	1	south_sweden	259
6201	1	south_sweden	262
6203	1	south_sweden	264
6235	1	north_sweden	274
6258	1	admixed	284
6268	1	germany	285
6284	1	south_sweden	287
6296	1	central_europe	288
6903	1	central_europe	309
6933	1	spain	329
6945	1	germany	334
6989	1	western_europe	359
7008	1	germany	366
7147	1	admixed	405
7158	1	central_europe	406
7268	1	admixed	436
7346	1	south_sweden	462
8241	1	south_sweden	532
8242	1	south_sweden	533
8306	1	south_sweden	548
8422	1	south_sweden	568
9380	1	south_sweden	623
9386	1	north_sweden	627
9388	1	north_sweden	628
9528	1	spain	682
9534	1	spain	688
9547	1	spain	700
9548	1	admixed	701
9557	1	spain	710
9558	1	admixed	711
9564	1	spain	716
9573	1	spain	722
9586	1	spain	733
9593	1	spain	740
9595	1	admixed	742
9597	1	spain	744
9599	1	western_europe	746
9601	1	spain	748
9602	1	spain	749
9811	1	central_europe	929
9822	1	spain	939
9824	1	admixed	941
9826	1	western_europe	943
9841	1	spain	957
9866	1	spain	979
9880	1	spain	992
9885	1	spain	996
9903	1	spain	1011
991	1	south_sweden	41
10005	2	central_europe	1094
1061	2	south_sweden	46
1066	2	south_sweden	49
5165	2	admixed	112
5353	2	western_europe	120
6036	2	south_sweden	177
6043	2	north_sweden	183
6074	2	south_sweden	190
6076	2	south_sweden	191
6085	2	south_sweden	193
6097	2	south_sweden	203
6107	2	south_sweden	212
6108	2	western_europe	213
6109	2	south_sweden	214
6111	2	south_sweden	215
6115	2	south_sweden	219
6122	2	south_sweden	222
6153	2	north_sweden	243
6163	2	north_sweden	245
6169	2	north_sweden	247
6188	2	south_sweden	254
6413	2	south_sweden	291
7002	2	germany	364
7255	2	germany	434
7276	2	germany	438
7305	2	admixed	445
7327	2	spain	454
8234	2	south_sweden	525
8247	2	south_sweden	537
8256	2	admixed	539
8307	2	south_sweden	549
9057	2	south_sweden	576
9321	2	north_sweden	611
9371	2	north_sweden	622
9395	2	south_sweden	633
9408	2	south_sweden	639
9436	2	south_sweden	647
9442	2	germany	649
9470	2	south_sweden	656
9519	2	spain	673
9520	2	spain	674
9524	2	spain	678
9526	2	spain	680
9532	2	spain	686
9535	2	spain	689
9553	2	spain	706
9561	2	admixed	714
9568	2	spain	719
9569	2	western_europe	720
9577	2	spain	725
9578	2	western_europe	726
9591	2	admixed	738
9778	2	central_europe	896
9795	2	central_europe	913
9806	2	central_europe	924
9833	2	spain	949
9838	2	admixed	954
9846	2	spain	961
9848	2	spain	963
9852	2	spain	967
9855	2	spain	970
9888	2	spain	999
9898	2	spain	1006
9899	2	spain	1007
9906	2	admixed	1014
997	2	south_sweden	43
410	3	central_europe	12
5023	3	western_europe	109
5832	3	south_sweden	144
6009	3	north_sweden	160
6012	3	north_sweden	163
6013	3	north_sweden	164
6023	3	south_sweden	171
6024	3	south_sweden	172
6035	3	south_sweden	176
6090	3	south_sweden	197
6092	3	south_sweden	199
6098	3	south_sweden	204
6113	3	south_sweden	217
6125	3	south_sweden	225
6133	3	south_sweden	230
6138	3	south_sweden	234
6150	3	south_sweden	241
6151	3	south_sweden	242
6154	3	north_sweden	244
6191	3	south_sweden	256
6195	3	south_sweden	260
6276	3	germany	286
6944	3	western_europe	333
6961	3	spain	341
6982	3	germany	355
7003	3	admixed	365
7013	3	south_sweden	367
7133	3	germany	402
7354	3	south_sweden	467
7382	3	admixed	475
8214	3	western_europe	519
8222	3	south_sweden	520
8283	3	south_sweden	543
8326	3	south_sweden	552
8351	3	north_sweden	557
8369	3	south_sweden	562
8376	3	north_sweden	563
8386	3	central_europe	564
9405	3	south_sweden	637
9407	3	south_sweden	638
9453	3	south_sweden	653
9567	3	spain	718
9582	3	spain	729
9588	3	spain	735
9784	3	central_europe	902
9804	3	central_europe	922
9807	3	central_europe	925
9820	3	spain	937
9821	3	spain	938
9835	3	admixed	951
9845	3	spain	960
9849	3	admixed	964
9850	3	spain	965
9856	3	spain	971
9859	3	spain	974
9870	3	spain	983
9874	3	spain	986
9878	3	spain	990
9881	3	admixed	993
9882	3	spain	994
9892	3	admixed	1002
9895	3	spain	1004
9897	3	admixed	1005
9901	3	spain	1009
9904	3	spain	1012
9948	3	spain	1046
