accession_id	fold	genetic_group	nearclone_block
1066	0	south_sweden	49
5830	0	south_sweden	142
6009	0	north_sweden	160
6023	0	south_sweden	171
6071	0	north_sweden	188
6088	0	south_sweden	196
6100	0	south_sweden	206
6105	0	south_sweden	210
6113	0	south_sweden	217
6124	0	south_sweden	224
6132	0	south_sweden	229
6151	0	south_sweden	242
6154	0	north_sweden	244
6173	0	north_sweden	249
6193	0	south_sweden	258
6217	0	north_sweden	269
6296	0	central_europe	288
6413	0	south_sweden	291
6933	0	spain	329
6944	0	western_europe	333
6957	0	central_europe	337
6987	0	admixed	358
7002	0	germany	364
7177	0	central_europe	414
7255	0	germany	434
7276	0	germany	438
7328	0	spain	455
7343	0	south_sweden	460
7354	0	south_sweden	467
7382	0	admixed	475
8214	0	western_europe	519
8222	0	south_sweden	520
8307	0	south_sweden	549
8326	0	south_sweden	552
8422	0	south_sweden	568
8426	0	south_sweden	570
9057	0	south_sweden	576
9321	0	north_sweden	611
9405	0	south_sweden	637
9407	0	south_sweden	638
9409	0	south_sweden	640
9436	0	south_sweden	647
9520	0	spain	674
9524	0	spain	678
9525	0	spain	679
9527	0	admixed	681
9547	0	spain	700
9565	0	admixed	717
9569	0	western_europe	720
9581	0	admixed	728
9588	0	spain	735
9596	0	admixed	743
9807	0	central_europe	925
9820	0	spain	937
9824	0	admixed	941
9833	0	spain	949
9840	0	spain	956
9841	0	spain	957
9857	0	spain	972
9864	0	spain	978
9867	0	spain	980
9874	0	spain	986
9891	0	spain	1001
9901	0	spain	1009
9903	0	spain	1011
9938	0	western_europe	1037
10005	1	central_europe	1094
1062	1	south_sweden	47
430	1	central_europe	15
5353	1	western_europe	120
5865	1	south_sweden	149
5867	1	south_sweden	150
6012	1	north_sweden	163
6035	1	south_sweden	176
6036	1	south_sweden	177
6069	1	north_sweden	186
6107	1	south_sweden	212
6109	1	south_sweden	214
6111	1	south_sweden	215
6114	1	south_sweden	218
6125	1	south_sweden	225
6133	1	south_sweden	230
6140	1	south_sweden	235
6145	1	south_sweden	238
6150	1	south_sweden	241
6169	1	north_sweden	247
6184	1	north_sweden	253
6188	1	south_sweden	254
6268	1	germany	285
6276	1	germany	286
6284	1	south_sweden	287
6445	1	central_europe	294
6918	1	north_sweden	318
6961	1	spain	341
6989	1	western_europe	359
6997	1	germany	362
7133	1	germany	402
7158	1	central_europe	406
7169	1	admixed	413
7268	1	admixed	436
8227	1	north_sweden	521
8231	1	south_sweden	523
8249	1	south_sweden	538
8256	1	admixed	539
8259	1	south_sweden	541
8369	1	south_sweden	562
9404	1	south_sweden	636
9470	1	south_sweden	656
9535	1	spain	689
9539	1	spain	692
9553	1	spain	706
9556	1	spain	709
9562	1	spain	715
9582	1	spain	729
9584	1	spain	731
9585	1	western_europe	732
9594	1	spain	741
9601	1	spain	748
9825	1	spain	942
9836	1	spain	952
9843	1	spain	958
9846	1	spain	961
9849	1	admixed	964
9855	1	spain	970
9858	1	admixed	973
9881	1	admixed	993
9888	1	spain	999
9897	1	admixed	1005
9899	1	spain	1007
9904	1	spain	1012
992	1	south_sweden	42
997	1	south_sweden	43
1002	2	south_sweden	44
1061	2	south_sweden	46
1063	2	south_sweden	48
410	2	central_europe	12
5023	2	western_europe	109
5165	2	admixed	112
6016	2	north_sweden	165
6020	2	south_sweden	168
6038	2	south_sweden	178
6041	2	south_sweden	181
6074	2	south_sweden	190
6097	2	south_sweden	203
6112	2	south_sweden	216
6131	2	south_sweden	228
6136	2	south_sweden	232
6142	2	south_sweden	237
6153	2	north_sweden	243
6163	2	north_sweden	245
6189	2	south_sweden	255
6201	2	south_sweden	262
6203	2	south_sweden	264
6252	2	germany	282
6970	2	spain	347
6971	2	spain	348
6974	2	south_sweden	350
7008	2	germany	366
7062	2	germany	377
7119	2	germany	396
7147	2	admixed	405
7305	2	admixed	445
8234	2	south_sweden	525
8240	2	south_sweden	531
8241	2	south_sweden	532
8242	2	south_sweden	533
8306	2	south_sweden	548
8351	2	north_sweden	557
9363	2	north_sweden	619
9369	2	south_sweden	620
9386	2	north_sweden	627
9399	2	south_sweden	634
9528	2	spain	682
9551	2	admixed	704
9558	2	admixed	711
9567	2	spain	718
9573	2	spain	722
9578	2	western_europe	726
9587	2	spain	734
