accession_id	fold	genetic_group	nearclone_block
1063	0	south_sweden	48
1066	0	south_sweden	49
430	0	central_europe	15
5865	0	south_sweden	149
5907	0	central_europe	154
6036	0	south_sweden	177
6069	0	north_sweden	186
6105	0	south_sweden	210
6109	0	south_sweden	214
6111	0	south_sweden	215
6132	0	south_sweden	229
6133	0	south_sweden	230
6134	0	south_sweden	231
6138	0	south_sweden	234
6151	0	south_sweden	242
6153	0	north_sweden	243
6193	0	south_sweden	258
6201	0	south_sweden	262
6209	0	north_sweden	265
6235	0	north_sweden	274
6296	0	central_europe	288
6413	0	south_sweden	291
6903	0	central_europe	309
6924	0	western_europe	323
6933	0	spain	329
6944	0	western_europe	333
6957	0	central_europe	337
6982	0	germany	355
6997	0	germany	362
7008	0	germany	366
7013	0	south_sweden	367
8214	0	western_europe	519
8231	0	south_sweden	523
8237	0	south_sweden	528
8247	0	south_sweden	537
8326	0	south_sweden	552
9057	0	south_sweden	576
9321	0	north_sweden	611
9388	0	north_sweden	628
9407	0	south_sweden	638
9436	0	south_sweden	647
9481	0	south_sweden	659
9526	0	spain	680
9539	0	spain	692
9551	0	admixed	704
9556	0	spain	709
9561	0	admixed	714
9577	0	spain	725
9582	0	spain	729
9586	0	spain	733
9821	0	spain	938
9835	0	admixed	951
9845	0	spain	960
9849	0	admixed	964
9850	0	spain	965
9855	0	spain	970
9858	0	admixed	973
9859	0	spain	974
9864	0	spain	978
9867	0	spain	980
9880	0	spain	992
9881	0	admixed	993
9888	0	spain	999
9890	0	admixed	1000
9899	0	spain	1007
9948	0	spain	1046
1002	1	south_sweden	44
1062	1	south_sweden	47
1254	1	north_sweden	53
5867	1	south_sweden	150
6011	1	north_sweden	162
6020	1	south_sweden	168
6073	1	south_sweden	189
6098	1	south_sweden	204
6104	1	south_sweden	209
6112	1	south_sweden	216
6140	1	south_sweden	235
6142	1	south_sweden	237
6149	1	south_sweden	240
6169	1	north_sweden	247
6202	1	south_sweden	263
6203	1	south_sweden	264
6217	1	north_sweden	269
6284	1	south_sweden	287
6424	1	central_europe	292
6445	1	central_europe	294
6918	1	north_sweden	318
6945	1	germany	334
6989	1	western_europe	359
7133	1	germany	402
7169	1	admixed	413
7244	1	germany	431
7268	1	admixed	436
8222	1	south_sweden	520
8249	1	south_sweden	538
8256	1	admixed	539
8283	1	south_sweden	543
8335	1	south_sweden	554
8386	1	central_europe	564
8426	1	south_sweden	570
9369	1	south_sweden	620
9386	1	north_sweden	627
9395	1	south_sweden	633
9454	1	south_sweden	654
9506	1	admixed	661
9520	1	spain	674
9528	1	spain	682
9540	1	spain	693
9552	1	admixed	705
9565	1	admixed	717
9567	1	spain	718
9568	1	spain	719
9569	1	western_europe	720
9585	1	western_europe	732
9587	1	spain	734
9595	1	admixed	742
9601	1	spain	748
9602	1	spain	749
9795	1	central_europe	913
9806	1	central_europe	924
9819	1	spain	936
9833	1	spain	949
9834	1	spain	950
9844	1	spain	959
9846	1	spain	961
9848	1	spain	963
9851	1	western_europe	966
9857	1	spain	972
9874	1	spain	986
9895	1	spain	1004
9904	1	spain	1012
991	1	south_sweden	41
1061	2	south_sweden	46
410	2	central_europe	12
5023	2	western_europe	109
5165	2	admixed	112
6013	2	north_sweden	164
6021	2	south_sweden	169
6024	2	south_sweden	172
6034	2	south_sweden	175
6040	2	south_sweden	180
6041	2	south_sweden	181
6071	2	north_sweden	188
6085	2	south_sweden	193
6099	2	south_sweden	205
6107	2	south_sweden	212
6108	2	western_europe	213
6114	2	south_sweden	218
6122	2	south_sweden	222
6136	2	south_sweden	232
6137	2	south_sweden	233
6189	2	south_sweden	255
6191	2	south_sweden	256
6194	2	south_sweden	259
6195	2	south_sweden	260
6210	2	north_sweden	266
6971	2	spain	348
7003	2	admixed	365
7062	2	germany	377
7147	2	admixed	405
7276	2	germany	438
7327	2	spain	454
7328	2	spain	455
7354	2	south_sweden	467
7382	2	admixed	475
8234	2	south_sweden	525
8240	2	south_sweden	531
8242	2	south_sweden	533
8369	2	south_sweden	562
8376	2	north_sweden	563
9363	2	north_sweden	619
9371	2	north_sweden	622
9408	2	south_sweden	639
9442	2	germany	649
9517	2	western_europe	671
9521	2	spain	675
9524	2	spain	678
9546	2	spain	699
9548	2	admixed	701
9553	2	spain	706
9578	2	western_europe	726
9584	2	spain	731
9588	2	spain	735
9589	2	spain	736
9756	2	central_europe	879
9772	2	central_europe	891
9807	2	central_europe	925
9820	2	spain	937
9822	2	spain	939
9838	2	admixed	954
9843	2	spain	958
9856	2	spain	971
9866	2	spain	979
9885	2	spain	996
9886	2	spain	997
9906	2	admixed	1014
9950	2	spain	1048
997	2	south_sweden	43
139	3	western_europe	6
6012	3	north_sweden	163
6016	3	north_sweden	165
6019	3	south_sweden	167
6035	3	south_sweden	176
6038	3	south_sweden	178
6039	3	admixed	179
6043	3	north_sweden	183
6088	3	south_sweden	196
6090	3	south_sweden	197
6092	3	south_sweden	199
6094	3	south_sweden	200
6097	3	south_sweden	203
6115	3	south_sweden	219
6118	3	south_sweden	220
6124	3	south_sweden	224
6125	3	south_sweden	225
6126	3	south_sweden	226
6148	3	south_sweden	239
6150	3	south_sweden	241
6177	3	north_sweden	251
6188	3	south_sweden	254
6242	3	south_sweden	279
6252	3	germany	282
6268	3	germany	285
6974	3	south_sweden	350
6987	3	admixed	358
7119	3	germany	396
7158	3	central_europe	406
7177	3	central_europe	414
7255	3	germany	434
8259	3	south_sweden	541
8306	3	south_sweden	548
8351	3	north_sweden	557
9339	3	south_sweden	615
9405	3	south_sweden	637
9421	3	south_sweden	644
9453	3	south_sweden	653
9525	3	spain	679
9532	3	spain	686
9534	3	spain	688
9535	3	spain	689
9557	3	spain	710
9558	3	admixed	711
9564	3	spain	716
9573	3	spain	722
9581	3	admixed	728
9596	3	admixed	743
9597	3	spain	744
9599	3	western_europe	746
9778	3	central_europe	896
9804	3	central_europe	922
9811	3	central_europe	929
9825	3	spain	942
9836	3	spain	952
9840	3	spain	956
9852	3	spain	967
9860	3	spain	975
9870	3	spain	983
9877	3	admixed	989
9883	3	spain	995
9892	3	admixed	1002
9901	3	spain	1009
9902	3	spain	1010
9903	3	spain	1011
9949	3	western_europe	1047
10005	4	central_europe	1094
10017	4	central_europe	1104
5353	4	western_europe	120
5830	4	south_sweden	142
5832	4	south_sweden	144
6009	4	north_sweden	160
6023	4	south_sweden	171
6074	4	south_sweden	190
6076	4	south_sweden	191
6100	4	south_sweden	206
6106	4	south_sweden	211
6113	4	south_sweden	217
6128	4	south_sweden	227
6131	4	south_sweden	228
6145	4	south_sweden	238
6154	4	north_sweden	244
6163	4	north_sweden	245
6173	4	north_sweden	249
6184	4	north_sweden	253
6192	4	south_sweden	257
6258	4	admixed	284
6276	4	germany	286
6915	4	germany	316
6961	4	spain	341
6970	4	spain	347
7002	4	germany	364
7305	4	admixed	445
7343	4	south_sweden	460
7346	4	south_sweden	462
8227	4	north_sweden	521
8241	4	south_sweden	532
8264	4	spain	542
8307	4	south_sweden	549
8422	4	south_sweden	568
9380	4	south_sweden	623
9399	4	south_sweden	634
9404	4	south_sweden	636
9409	4	south_sweden	640
9470	4	south_sweden	656
9476	4	germany	658
9519	4	spain	673
9527	4	admixed	681
9531	4	spain	685
9547	4	spain	700
9562	4	spain	715
9591	4	admixed	738
9593	4	spain	740
9594	4	spain	741
9776	4	central_europe	894
9784	4	central_europe	902
9824	4	admixed	941
9826	4	western_europe	943
9839	4	admixed	955
9841	4	spain	957
9853	4	western_europe	968
9861	4	spain	976
9868	4	spain	981
9876	4	spain	988
9878	4	spain	990
9882	4	spain	994
9891	4	spain	1001
9897	4	admixed	1005
9898	4	spain	1006
992	4	south_sweden	42
9938	4	western_europe	1037
9942	4	spain	1040
