accession_id	fold	genetic_group	nearclone_block
1062	0	south_sweden	47
1063	0	south_sweden	48
1254	0	north_sweden	53
5023	0	western_europe	109
5353	0	western_europe	120
6023	0	south_sweden	171
6024	0	south_sweden	172
6038	0	south_sweden	178
6043	0	north_sweden	183
6099	0	south_sweden	205
6105	0	south_sweden	210
6115	0	south_sweden	219
6122	0	south_sweden	222
6133	0	south_sweden	230
6137	0	south_sweden	233
6138	0	south_sweden	234
6140	0	south_sweden	235
6169	0	north_sweden	247
6173	0	north_sweden	249
6188	0	south_sweden	254
6276	0	germany	286
6296	0	central_europe	288
6961	0	spain	341
7003	0	admixed	365
7062	0	germany	377
7305	0	admixed	445
7346	0	south_sweden	462
7382	0	admixed	475
8214	0	western_europe	519
8237	0	south_sweden	528
8241	0	south_sweden	532
8306	0	south_sweden	548
8351	0	north_sweden	557
8386	0	central_europe	564
8422	0	south_sweden	568
9339	0	south_sweden	615
9386	0	north_sweden	627
9404	0	south_sweden	636
9405	0	south_sweden	637
9442	0	germany	649
9519	0	spain	673
9520	0	spain	674
9531	0	spain	685
9557	0	spain	710
9562	0	spain	715
9577	0	spain	725
9586	0	spain	733
9591	0	admixed	738
9599	0	western_europe	746
9756	0	central_europe	879
9778	0	central_europe	896
9795	0	central_europe	913
9820	0	spain	937
9822	0	spain	939
9833	0	spain	949
9835	0	admixed	951
9840	0	spain	956
9841	0	spain	957
9850	0	spain	965
9857	0	spain	972
9858	0	admixed	973
9859	0	spain	974
9870	0	spain	983
9878	0	spain	990
9881	0	admixed	993
997	0	south_sweden	43
1061	1	south_sweden	46
410	1	central_europe	12
5165	1	admixed	112
6009	1	north_sweden	160
6011	1	north_sweden	162
6036	1	south_sweden	177
6069	1	north_sweden	186
6090	1	south_sweden	197
6097	1	south_sweden	203
6098	1	south_sweden	204
6100	1	south_sweden	206
6106	1	south_sweden	211
6109	1	south_sweden	214
6111	1	south_sweden	215
6112	1	south_sweden	216
6114	1	south_sweden	218
6132	1	south_sweden	229
6142	1	south_sweden	237
6193	1	south_sweden	258
6202	1	south_sweden	263
6217	1	north_sweden	269
6235	1	north_sweden	274
6413	1	south_sweden	291
6903	1	central_europe	309
6924	1	western_europe	323
7008	1	germany	366
7133	1	germany	402
7327	1	spain	454
7354	1	south_sweden	467
8234	1	south_sweden	525
8247	1	south_sweden	537
8369	1	south_sweden	562
9321	1	north_sweden	611
9395	1	south_sweden	633
9409	1	south_sweden	640
9454	1	south_sweden	654
9470	1	south_sweden	656
9476	1	germany	658
9525	1	spain	679
9532	1	spain	686
9547	1	spain	700
9551	1	admixed	704
9568	1	spain	719
9573	1	spain	722
9588	1	spain	735
9593	1	spain	740
9804	1	central_europe	922
9806	1	central_europe	924
9807	1	central_europe	925
9821	1	spain	938
9824	1	admixed	941
9826	1	western_europe	943
9838	1	admixed	954
9839	1	admixed	955
9848	1	spain	963
9849	1	admixed	964
9853	1	western_europe	968
9855	1	spain	970
9861	1	spain	976
9877	1	admixed	989
9880	1	spain	992
9882	1	spain	994
9898	1	spain	1006
9901	1	spain	1009
9904	1	spain	1012
9948	1	spain	1046
1002	2	south_sweden	44
5865	2	south_sweden	149
5907	2	central_europe	154
6019	2	south_sweden	167
6021	2	south_sweden	169
6034	2	south_sweden	175
