trait_id	trait_name	protocol	level	held_out	train_n	n_callrate95	n_MAF05_nonmonomorphic	n_COMMON	COMMON_10K_feasible	COMMON_50K_feasible	COMMON_250K_feasible	COMMON_1M_feasible
703	DTF1	blocked	outer	0	748	3718367	1708290	403757	True	True	True	False
703	DTF1	blocked	inner	outer0_inner0	561	3825465	1711002	421491	True	True	True	False
703	DTF1	blocked	inner	outer0_inner1	561	3888229	1715838	432043	True	True	True	False
703	DTF1	blocked	inner	outer0_inner2	561	3626762	1703692	386798	True	True	True	False
703	DTF1	blocked	inner	outer0_inner3	561	3690959	1707558	403022	True	True	True	False
703	DTF1	blocked	outer	1	749	3870347	1706388	421895	True	True	True	False
703	DTF1	blocked	inner	outer1_inner0	561	3879668	1704453	423897	True	True	True	False
703	DTF1	blocked	inner	outer1_inner1	562	3891062	1708958	427504	True	True	True	False
703	DTF1	blocked	inner	outer1_inner2	562	3934680	1708337	430722	True	True	True	False
703	DTF1	blocked	inner	outer1_inner3	562	3927220	1705135	431197	True	True	True	False
703	DTF1	blocked	outer	2	749	3854264	1712097	421013	True	True	True	False
703	DTF1	blocked	inner	outer2_inner0	561	3931658	1715285	435835	True	True	True	False
703	DTF1	blocked	inner	outer2_inner1	562	3881232	1711790	425990	True	True	True	False
703	DTF1	blocked	inner	outer2_inner2	562	3946071	1715165	434425	True	True	True	False
703	DTF1	blocked	inner	outer2_inner3	562	3811919	1708808	415260	True	True	True	False
703	DTF1	blocked	outer	3	749	3688090	1707732	390554	True	True	True	False
703	DTF1	blocked	inner	outer3_inner0	561	3683089	1706951	391411	True	True	True	False
703	DTF1	blocked	inner	outer3_inner1	561	3772406	1708419	406365	True	True	True	False
703	DTF1	blocked	inner	outer3_inner2	562	3734556	1710546	399088	True	True	True	False
703	DTF1	blocked	inner	outer3_inner3	563	3727171	1708550	393555	True	True	True	False
703	DTF1	blocked	outer	4	749	3644420	1714376	399983	True	True	True	False
703	DTF1	blocked	inner	outer4_inner0	561	3783703	1713582	419923	True	True	True	False
703	DTF1	blocked	inner	outer4_inner1	562	3742551	1713905	414397	True	True	True	False
703	DTF1	blocked	inner	outer4_inner2	562	3585916	1714101	394633	True	True	True	False
703	DTF1	blocked	inner	outer4_inner3	562	3626245	1719870	398253	True	True	True	False
703	DTF1	iid	outer	0	748	3665334	1706688	393736	True	True	True	False
703	DTF1	iid	inner	outer0_inner0	560	3533474	1704121	377267	True	True	True	False
703	DTF1	iid	inner	outer0_inner1	561	3792944	1713435	418397	True	True	True	False
703	DTF1	iid	inner	outer0_inner2	561	3747046	1706376	402888	True	True	True	False
703	DTF1	iid	inner	outer0_inner3	562	3750147	1705407	404574	True	True	True	False
703	DTF1	iid	outer	1	749	3749040	1710722	405852	True	True	True	False
703	DTF1	iid	inner	outer1_inner0	562	3804415	1711162	418965	True	True	True	False
703	DTF1	iid	inner	outer1_inner1	562	3762804	1709176	406308	True	True	True	False
703	DTF1	iid	inner	outer1_inner2	562	3818797	1716260	417892	True	True	True	False
703	DTF1	iid	inner	outer1_inner3	561	3770154	1709218	407749	True	True	True	False
703	DTF1	iid	outer	2	749	3734545	1709201	402864	True	True	True	False
703	DTF1	iid	inner	outer2_inner0	561	3819445	1713248	420361	True	True	True	False
703	DTF1	iid	inner	outer2_inner1	562	3724669	1710211	401091	True	True	True	False
703	DTF1	iid	inner	outer2_inner2	562	3884126	1707461	421774	True	True	True	False
703	DTF1	iid	inner	outer2_inner3	562	3667811	1708567	395775	True	True	True	False
703	DTF1	iid	outer	3	749	3877493	1711525	422391	True	True	True	False
703	DTF1	iid	inner	outer3_inner0	562	3986199	1712897	444079	True	True	True	False
703	DTF1	iid	inner	outer3_inner1	561	3966735	1712528	431623	True	True	True	False
703	DTF1	iid	inner	outer3_inner2	562	3858349	1712796	424527	True	True	True	False
703	DTF1	iid	inner	outer3_inner3	562	3852218	1711575	415998	True	True	True	False
703	DTF1	iid	outer	4	749	3748694	1710991	412052	True	True	True	False
703	DTF1	iid	inner	outer4_inner0	561	3763499	1716574	419588	True	True	True	False
703	DTF1	iid	inner	outer4_inner1	562	3885689	1714479	437285	True	True	True	False
703	DTF1	iid	inner	outer4_inner2	562	3781163	1711566	414043	True	True	True	False
703	DTF1	iid	inner	outer4_inner3	562	3717367	1705912	403696	True	True	True	False
748	stomata density	blocked	outer	0	264	4568794	1744449	561590	True	True	True	False
748	stomata density	blocked	inner	outer0_inner0	198	4495370	1744431	545111	True	True	True	False
748	stomata density	blocked	inner	outer0_inner1	198	4355260	1746497	534697	True	True	True	False
748	stomata density	blocked	inner	outer0_inner2	198	4537368	1752245	554804	True	True	True	False
748	stomata density	blocked	inner	outer0_inner3	198	4235810	1746052	514893	True	True	True	False
748	stomata density	blocked	outer	1	264	4660330	1746641	576200	True	True	True	False
748	stomata density	blocked	inner	outer1_inner0	197	4398238	1749801	543743	True	True	True	False
748	stomata density	blocked	inner	outer1_inner1	198	4430697	1749170	540168	True	True	True	False
748	stomata density	blocked	inner	outer1_inner2	198	4584509	1749751	562180	True	True	True	False
748	stomata density	blocked	inner	outer1_inner3	199	4562381	1754170	563710	True	True	True	False
748	stomata density	blocked	outer	2	263	4543876	1745670	569813	True	True	True	False
748	stomata density	blocked	inner	outer2_inner0	197	4399424	1744978	543484	True	True	True	False
748	stomata density	blocked	inner	outer2_inner1	197	4406396	1754167	558620	True	True	True	False
748	stomata density	blocked	inner	outer2_inner2	197	4273586	1745883	529663	True	True	True	False
748	stomata density	blocked	inner	outer2_inner3	198	4435057	1748509	547168	True	True	True	False
748	stomata density	blocked	outer	3	264	4572220	1742177	559386	True	True	True	False
748	stomata density	blocked	inner	outer3_inner0	197	4428779	1744099	539588	True	True	True	False
748	stomata density	blocked	inner	outer3_inner1	198	4373220	1747388	532001	True	True	True	False
748	stomata density	blocked	inner	outer3_inner2	198	4386413	1739518	523992	True	True	True	False
748	stomata density	blocked	inner	outer3_inner3	199	4423682	1752865	542157	True	True	True	False
748	stomata density	blocked	outer	4	265	4687789	1746620	576710	True	True	True	False
748	stomata density	blocked	inner	outer4_inner0	199	4450726	1749496	554447	True	True	True	False
748	stomata density	blocked	inner	outer4_inner1	198	4584225	1756504	566919	True	True	True	False
748	stomata density	blocked	inner	outer4_inner2	199	4630809	1756907	564321	True	True	True	False
748	stomata density	blocked	inner	outer4_inner3	199	4414819	1750436	533729	True	True	True	False
748	stomata density	iid	outer	0	264	4613127	1749240	574964	True	True	True	False
748	stomata density	iid	inner	outer0_inner0	199	4285710	1750736	525773	True	True	True	False
748	stomata density	iid	inner	outer0_inner1	197	4345820	1749697	535747	True	True	True	False
748	stomata density	iid	inner	outer0_inner2	198	4683093	1756622	586913	True	True	True	False
